dix	NUM	dix
rafales	NOM	rafale
Dans	ABR	dans
champs	NOM	champ
droit	NOM	droit
de	PRP	de
mars	NOM	mars
ne	ADV	ne
sol	NOM	sol
étoiles	NOM	étoile
homme	NOM	homme
suivait	VER:impf	suivre
seul	ADJ	seul
travers	NOM	travers
à	PRP	à
une	DET:ART	un
il	PRO:PER	il
un	DET:ART	un
grande	ADJ	grand
Devant	PRP	devant
même	ADV	même
sans	PRP	sans
la	DET:ART	le
lieues	NOM	lieue
kilomètres	NOM	kilomètre
par	PRP	par
les	DET:ART	le
coupant	VER:ppre	couper
,	PUN	,
rase	ADJ	ras
sous	PRP	sous
n'	ADV	ne
avait	VER:impf	avoir
PREMIÈRE	NUM	premier
,	PUN	,
encre	NOM	encre
PARTIE	NOM	partie
,	PUN	,
,	PUN	,
plaine	NOM	plaine
.	SENT	.
des	PRP:det	du
d'	PRP	de
Marchiennes	NAM	marchiennes
horizon	NOM	horizon
la	DET:ART	le
de	PRP	de
sur	PRP	sur
de	PRP	de
et	KON	et
tout	PRO:IND	tout
des	PRP:det	du
avoir	VER:infi	avoir
glacées	VER:pper	glacer
de	PRP	de
larges	ADJ	large
<EOS>	<EOS>	<EOS>
,	PUN	,
,	PUN	,
vent	NOM	vent
d'	PRP	de
pavé	VER:pper	paver
comme	KON	comme
de	PRP	de
du	PRP:det	du
Chapitre	NAM	chapitre
épaisseur	NOM	épaisseur
,	PUN	,
l'	DET:ART	le
d'	PRP	de
mer	NOM	mer
obscurité	NOM	obscurité
il	PRO:PER	il
,	PUN	,
les	DET:ART	le
de	PRP	de
à	PRP	à
balayé	VER:pper	balayer
immense	ADJ	immense
que	KON	que
une	DET:ART	un
,	PUN	,
I	NUM	i
Montsou	NAM	montsou
et	KON	et
noir	ADJ	noir
plat	ADJ	plat
lui	PRO:PER	lui
pas	ADV	pas
nuit	NOM	nuit
betteraves	NOM	betterave
souffles	NOM	souffle
le	DET:ART	le
d'	PRP	de
sensation	NOM	sensation
route	NOM	route
la	DET:ART	le
la	DET:ART	le
une	DET:ART	un
voyait	VER:impf	voir
<SEG>
était	VER:impf	être
veste	NOM	veste
flancs	NOM	flanc
et	KON	et
beaucoup	ADV	beaucoup
paquet	NOM	paquet
<EOS>	<EOS>	<EOS>
jetée	NOM	jetée
un	DET:ART	un
rectitude	NOM	rectitude
il	PRO:PER	il
pavé	NOM	pavé
<EOS>	<EOS>	<EOS>
de	PRP	de
le	DET:ART	le
arbre	NOM	arbre
de	PRP	de
grelottant	VER:ppre	grelotter
d'	PRP	de
marais	NOM	marais
avec	PRP	avec
Marchiennes	NAM	marchiennes
gênait	VER:impf	gêner
contre	PRP	contre
parti	VER:pper	partir
à	PRP	à
coude	NOM	coude
deux	NUM	deux
ne	ADV	ne
mouchoir	NOM	mouchoir
de	PRP	de
de	PRP	de
sous	PRP	sous
serrait	VER:impf	serrer
d'	PRP	de
des	PRP:det	du
;	PUN	;
<EOS>	<EOS>	<EOS>
Un	DET:ART	un
le	DET:ART	le
,	PUN	,
un	DET:ART	un
.	SENT	.
<EOS>	<EOS>	<EOS>
ombre	NOM	ombre
terres	NOM	terre
petit	ADJ	petit
,	PUN	,
nues	NOM	nue
.	SENT	.
déroulait	VER:impf	dérouler
allongé	ADJ	allongé
marchait	VER:impf	marcher
aminci	VER:pper	amincir
,	PUN	,
pantalon	NOM	pantalon
L'	DET:ART	le
coton	NOM	coton
heures	NOM	heure
,	PUN	,
tantôt	ADV	tantôt
de	PRP	de
ciel	NOM	ciel
un	DET:ART	un
le	DET:ART	le
homme	NOM	homme
.	SENT	.
une	DET:ART	un
.	SENT	.
ses	DET:POS	son
tantôt	ADV	tantôt
,	PUN	,
au	PRP:det	au
dans	PRP	dans
carreaux	NOM	carreau
la	DET:ART	le
d'	PRP	de
le	PRO:PER	le
l'	DET:ART	le
et	KON	et
d'	PRP	de
sa	DET:POS	son
,	PUN	,
aveuglant	VER:ppre	aveugler
,	PUN	,
velours	NOM	velours
tachait	VER:impf	tacher
son	DET:POS	son
et	KON	et
vers	PRP	vers
de	PRP	de
Aucune	PRO:IND	aucun
milieu	NOM	milieu
le	PRO:PER	le
ténèbres	NOM	ténèbre
se	PRO:PER	se
Il	PRO:PER	il
embrun	NOM	embrun
pas	ADV	pas
noué	VER:pper	nouer
<SEG>
D'	PRP	de
le	DET:ART	le
à	PRP	à
de	PRP	de
travail	NOM	travail
des	PRP:det	du
l'	DET:ART	le
espoir	NOM	espoir
<EOS>	<EOS>	<EOS>
.	SENT	.
fois	NOM	fois
Une	DET:ART	un
gauche	ADJ	gauche
saigner	VER:infi	saigner
brûlant	VER:ppre	brûler
les	DET:ART	le
lorsque	KON	lorsque
que	KON	que
au	PRP:det	au
,	PUN	,
avançait	VER:impf	avancer
tête	NOM	tête
jour	NOM	jour
occupait	VER:impf	occuper
feux	NOM	feu
fond	NOM	fond
brasiers	NOM	brasier
de	PRP	de
,	PUN	,
ses	DET:POS	son
idée	NOM	idée
autre	ADJ	autre
sur	PRP	sur
kilomètres	NOM	kilomètre
sa	DET:POS	son
trois	NUM	trois
au	PRP:det	au
plein	ADJ	plein
ainsi	ADV	ainsi
<EOS>	<EOS>	<EOS>
serait	VER:cond	être
suspendus	VER:pper	suspendre
,	PUN	,
Depuis	PRP	depuis
Montsou	NAM	montsou
air	NOM	air
la	DET:ART	le
heure	NOM	heure
vent	NOM	vent
gîte	NOM	gîte
,	PUN	,
,	PUN	,
la	DET:ART	le
mains	NOM	main
comme	ADV	comme
que	KON	que
vif	ADJ	vif
est	NOM	est
moins	ADV	moins
l'	DET:ART	le
,	PUN	,
deux	NUM	deux
rouges	ADJ	rouge
des	PRP:det	du
de	PRP	de
pour	PRP	pour
une	DET:ART	un
sans	PRP	sans
vide	ADJ	vide
gourdes	ADJ	gourd
à	PRP	à
et	KON	et
et	KON	et
seule	ADJ	seul
deux	NUM	deux
d'	PRP	de
glisser	VER:infi	glisser
.	SENT	.
lanières	NOM	lanière
du	PRP:det	du
il	PRO:PER	il
,	PUN	,
ouvrier	NOM	ouvrier
lever	NOM	lever
après	PRP	après
.	SENT	.
aperçut	VER:simp	apercevoir
poches	NOM	poche
du	PRP:det	du
<EOS>	<EOS>	<EOS>
le	DET:ART	le
il	PRO:PER	il
d'	PRP	de
les	DET:ART	le
mains	NOM	main
froid	NOM	froid
,	PUN	,
,	PUN	,
sans	PRP	sans
faisaient	VER:impf	faire
<SEG>
qu'	KON	que
planches	NOM	planche
Tout	PRO:IND	tout
ferrée	ADJ	ferré
confus	ADJ	confus
creux	ADJ	creux
une	DET:ART	un
;	PUN	;
,	PUN	,
élevait	VER:impf	élever
à	PRP	à
du	PRP:det	du
gauche	ADJ	gauche
besoin	NOM	besoin
douloureux	ADJ	douloureux
<EOS>	<EOS>	<EOS>
pris	VER:pper	prendre
surmonté	VER:pper	surmonter
mains	NOM	main
environ	PRP	environ
de	PRP	de
toitures	NOM	toiture
basses	ADJ	bas
uniformes	ADJ	uniforme
chemin	NOM	chemin
un	DET:ART	un
droite	ADJ	droit
pignons	NOM	pignon
pas	ADV	pas
s'	PRO:PER	se
à	PRP	à
une	DET:ART	un
village	NOM	village
puis	ADV	puis
.	SENT	.
Brusquement	ADV	brusquement
herbe	NOM	herbe
résister	VER:infi	résister
de	PRP	de
<EOS>	<EOS>	<EOS>
palissade	NOM	palissade
.	SENT	.
abord	NOM	abord
fermant	VER:ppre	fermer
,	PUN	,
au	PRP:det	au
instant	NOM	instant
mur	NOM	mur
tandis	KON	tandis
disparut	VER:simp	disparaître
et	KON	et
fit	VER:simp	faire
quelque	PRO:IND	quelque
Il	PRO:PER	il
put	VER:simp	pouvoir
un	DET:ART	un
d'	PRP	de
les	DET:ART	le
.	SENT	.
vision	NOM	vision
crainte	NOM	crainte
de	PRP	de
voie	NOM	voie
.	SENT	.
grosses	ADJ	gros
;	PUN	;
talus	NOM	talus
à	PRP	à
chauffer	VER:infi	chauffer
de	PRP	de
ne	ADV	ne
une	DET:ART	un
coude	NOM	coude
Un	DET:ART	un
L'	DET:ART	le
chemin	NOM	chemin
hésita	VER:simp	hésiter
<EOS>	<EOS>	<EOS>
.	SENT	.
aux	PRP:det	au
deux	NUM	deux
homme	NOM	homme
cents	NOM	cent
,	PUN	,
,	PUN	,
,	PUN	,
,	PUN	,
de	PRP	de
il	PRO:PER	il
<EOS>	<EOS>	<EOS>
il	PRO:PER	il
<EOS>	<EOS>	<EOS>
un	DET:ART	un
avait	VER:impf	avoir
se	PRO:PER	se
s'	PRO:PER	se
,	PUN	,
,	PUN	,
enfonçait	VER:impf	enfoncer
d'	PRP	de
<SEG>
pendues	VER:pper	pendre
rares	ADJ	rare
se	PRO:PER	se
des	PRP:det	du
constructions	NOM	construction
<EOS>	<EOS>	<EOS>
,	PUN	,
à	PRP	à
de	PRP	de
il	PRO:PER	il
venait	VER:impf	venir
masse	NOM	masse
l'	PRO:PER	la|le
lui	PRO:PER	lui
<EOS>	<EOS>	<EOS>
lunes	NOM	lune
comprit	VER:simp	comprendre
profils	NOM	profil
noircis	VER:pper	noircir
dehors	ADV	dehors
charpentes	NOM	charpente
brûlaient	VER:impf	brûler
bois	NOM	bois
écrasé	VER:pper	écraser
,	PUN	,
lueurs	NOM	lueur
la	DET:ART	le
les	DET:ART	le
étaient	VER:impf	être
ciel	NOM	ciel
silhouette	NOM	silhouette
encrassées	VER:pper	encrasser
fumeuses	ADJ	fumeux
tas	NOM	tas
si	ADV	si
mort	ADJ	mort
d'	PRP	de
arrêter	VER:infi	arrêter
Mais	KON	mais
ils	PRO:PER	il
lourde	ADJ	lourd
une	DET:ART	un
de	PRP	de
usine	NOM	usine
dressait	VER:impf	dresser
tréteaux	NOM	tréteau
d'	PRP	de
pareils	ADJ	pareil
C'	PRO:DEM	ce
comment	ADV	comment
des	PRP:det	du
des	PRP:det	du
lanternes	NOM	lanterne
du	PRP:det	du
au	PRP:det	au
le	DET:ART	le
cinq	NUM	cinq
.	SENT	.
près	ADV	près
ou	KON	ou
,	PUN	,
fenêtres	NOM	fenêtre
;	PUN	;
feux	NOM	feu
haut	ADV	haut
vaguement	ADV	vaguement
de	PRP	de
autre	ADJ	autre
