gras	ADJ	gras
de	PRP	de
femmes	NOM	femme
voisines	NOM	voisin
police	NOM	police
,	PUN	,
la	DET:ART	le
impossible	ADJ	impossible
veuve	ADJ	veuf
bureau	NOM	bureau
avaient	VER:impf	avoir
que	KON	que
de	PRP	de
Mardi	NAM	mardi
.	SENT	.
isolée	VER:pper	isoler
une	DET:ART	un
exactement	ADV	exactement
.	SENT	.
en	PRP	en
mars	NOM	mars
,	PUN	,
de	PRP	de
racontaient	VER:impf	raconter
1862	NUM	@card@
silence	NOM	silence
surlendemain	NOM	surlendemain
avait	VER:impf	avoir
intérieur	NOM	intérieur
habitait	VER:impf	habiter
frappé	VER:pper	frapper
la	DET:ART	le
du	PRP:det	du
il	PRO:PER	il
jours	NOM	jour
<EOS>	<EOS>	<EOS>
,	PUN	,
personne	ADV	personne
plusieurs	PRO:IND	plusieurs
de	PRP	de
une	NUM	un
œil	NOM	œil
coup	NOM	coup
6	NUM	@card@
comme	KON	comme
,	PUN	,
qui	PRO:REL	qui
I	NUM	i
jeudi	NOM	jeudi
<EOS>	<EOS>	<EOS>
inquiétaient	VER:impf	inquiéter
du	PRP:det	du
deux	NUM	deux
étant	VER:ppre	être
,	PUN	,
jeter	VER:infi	jeter
leurs	DET:POS	leur
porte	NOM	porte
les	PRO:PER	la|le
À	PRP	à
seule	ADJ	seul
Bougival	NAM	bougival
<EOS>	<EOS>	<EOS>
elles	PRO:PER	elle
aperçu	VER:pper	apercevoir
vain	ADJ	vain
.	SENT	.
,	PUN	,
Ce	PRO:DEM	ce
d'	PRP	de
Jonchère	NOM	jonchère
<EOS>	<EOS>	<EOS>
fenêtres	NOM	fenêtre
village	NOM	village
depuis	PRP	depuis
de	PRP	de
reprises	NOM	reprise
La	DET:ART	le
.	SENT	.
un	DET:ART	un
l'	DET:ART	le
avait	VER:impf	avoir
au	PRP:det	au
été	VER:pper	être
fermées	VER:pper	fermer
,	PUN	,
Le	DET:ART	le
Lerouge	NOM	lerouge
cette	PRO:DEM	ce
cinq	NUM	cinq
Elles	PRO:PER	elle
.	SENT	.
maisonnette	NOM	maisonnette
se	PRO:PER	se
à	PRP	à
<EOS>	<EOS>	<EOS>
disparition	NOM	disparition
présentaient	VER:impf	présenter
Les	DET:ART	le
n'	ADV	ne
<SEG>
rares	ADJ	rare
,	PUN	,
,	PUN	,
moins	ADV	moins
Redoutant	VER:ppre	redouter
les	PRO:PER	la|le
«	PUN:cit	«
la	DET:ART	le
est	VER:pres	être
et	KON	et
elles	PRO:PER	elle
,	PUN	,
et	KON	et
à	PRP	à
un	DET:ART	un
de	PRP	de
le	DET:ART	le
crimes	NOM	crime
les	DET:ART	le
.	SENT	.
dans	PRP	dans
commissaire	NOM	commissaire
<EOS>	<EOS>	<EOS>
.	SENT	.
pénétrer	VER:infi	pénétrer
les	DET:ART	le
tous	PRO:IND	tout
bien	ADV	bien
tout	ADV	tout
si	ADV	si
mais	KON	mais
,	PUN	,
tant	ADV	tant
que	KON	que
au	PRP:det	au
relève	VER:pres	relever
donc	ADV	donc
délits	NOM	délit
fatigué	ADJ	fatigué
se	PRO:PER	se
forcer	VER:infi	forcer
pays	NOM	pays
»	PUN:cit	»
la	DET:ART	le
,	PUN	,
ou	KON	ou
sont	VER:pres	être
canotiers	NOM	canotier
<EOS>	<EOS>	<EOS>
de	PRP	de
peuplé	VER:pper	peupler
y	PRO:PER	y
beaucoup	ADV	beaucoup
rassurer	VER:infi	rassurer
accident	NOM	accident
elles	PRO:PER	elle
la	DET:ART	le
firent	VER:simp	faire
.	SENT	.
abord	NOM	abord
insistèrent	VER:simp	insister
de	PRP	de
canotières	NOM	canotier
pour	PRP	pour
aimable	ADJ	aimable
longtemps	ADV	longtemps
bien	ADV	bien
