Notice	NOM	notice
À	PRP	à
en	PRO:PER	en
juger	VER:infi	juger
par	PRP	par
les	DET:ART	le
quelques	PRO:IND	quelque
portraits	NOM	portrait
conservés	VER:pper	conserver
au	PRP:det	au
château	NOM	château
de	PRP	de
Lourps	NAM	lourps
,	PUN	,
la	DET:ART	le
famille	NOM	famille
des	PRP:det	du
Floressas	NAM	floressas
des	PRP:det	du
Esseintes	NAM	esseintes
avait	VER:impf	avoir
été	VER:pper	être
,	PUN	,
au	PRP:det	au
temps	NOM	temps
jadis	ADV	jadis
,	PUN	,
composée	VER:pper	composer
d'	PRP	de
athlétiques	ADJ	athlétique
soudards	NOM	soudard
,	PUN	,
de	PRP	de
rébarbatifs	ADJ	rébarbatif
reîtres	NOM	reître
.	SENT	.
<EOS>	<EOS>	<EOS>
Serrés	VER:pper	serrer
,	PUN	,
à	PRP	à
l'	DET:ART	le
étroit	ADJ	étroit
dans	PRP	dans
leurs	DET:POS	leur
vieux	ADJ	vieux
cadres	NOM	cadre
qu'	PRO:REL	que
ils	PRO:PER	il
barraient	VER:impf	barrer
de	PRP	de
leurs	DET:POS	leur
fortes	ADJ	fort
épaules	NOM	épaule
,	PUN	,
ils	PRO:PER	il
alarmaient	VER:impf	alarmer
avec	PRP	avec
leurs	DET:POS	leur
yeux	NOM	œil
fixes	ADJ	fixe
,	PUN	,
leurs	DET:POS	leur
moustaches	NOM	moustache
en	PRP	en
yatagans	NOM	yatagan
,	PUN	,
leur	DET:POS	leur
poitrine	NOM	poitrine
dont	PRO:REL	dont
l'	DET:ART	le
arc	NOM	arc
bombé	ADJ	bombé
remplissait	VER:impf	remplir
l'	DET:ART	le
énorme	ADJ	énorme
coquille	NOM	coquille
des	PRP:det	du
cuirasses	NOM	cuirasse
.	SENT	.
<EOS>	<EOS>	<EOS>
Ceux	PRO:DEM	celui
-là	ADV	là
étaient	VER:impf	être
les	DET:ART	le
ancêtres	NOM	ancêtre
;	PUN	;
les	DET:ART	le
portraits	NOM	portrait
de	PRP	de
leurs	DET:POS	leur
descendants	NOM	descendant
manquaient	VER:impf	manquer
;	PUN	;
un	DET:ART	un
trou	NOM	trou
existait	VER:impf	exister
dans	PRP	dans
la	DET:ART	le
filière	NOM	filière
des	PRP:det	du
visages	NOM	visage
de	PRP	de
cette	PRO:DEM	ce
race	NOM	race
;	PUN	;
une	DET:ART	un
seule	ADJ	seul
toile	NOM	toile
servait	VER:impf	servir
d'	PRP	de
intermédiaire	ADJ	intermédiaire
,	PUN	,
mettait	VER:impf	mettre
un	DET:ART	un
point	NOM	point
de	PRP	de
suture	NOM	suture
entre	PRP	entre
le	DET:ART	le
passé	NOM	passé
et	KON	et
le	DET:ART	le
présent	ADJ	présent
,	PUN	,
une	DET:ART	un
tête	NOM	tête
mystérieuse	ADJ	mystérieux
et	KON	et
rusée	ADJ	rusé
,	PUN	,
aux	PRP:det	au
traits	NOM	trait
morts	ADJ	mort
et	KON	et
tirés	VER:pper	tirer
,	PUN	,
aux	PRP:det	au
pommettes	NOM	pommette
ponctuées	VER:pper	ponctuer
d'	PRP	de
une	DET:ART	un
virgule	NOM	virgule
de	PRP	de
fard	NOM	fard
,	PUN	,
aux	PRP:det	au
cheveux	NOM	cheveu
gommés	ADJ	gommé
et	KON	et
enroulés	VER:pper	enrouler
de	PRP	de
perles	NOM	perle
,	PUN	,
au	PRP:det	au
col	NOM	col
tendu	ADJ	tendu
et	KON	et
peint	VER:pper	peindre
,	PUN	,
sortant	VER:ppre	sortir
des	PRP:det	du
cannelures	NOM	cannelure
d'	PRP	de
une	DET:ART	un
rigide	ADJ	rigide
fraise	NOM	fraise
.	SENT	.
<EOS>	<EOS>	<EOS>
Déjà	ADV	déjà
,	PUN	,
dans	PRP	dans
cette	PRO:DEM	ce
image	NOM	image
de	PRP	de
l'	DET:ART	le
un	DET:ART	un
des	PRP:det	du
plus	ADV	plus
intimes	ADJ	intime
familiers	NOM	familier
du	PRP:det	du
duc	NOM	duc
d'	PRP	de
Épernon	NAM	épernon
et	KON	et
du	PRP:det	du
marquis	NOM	marquis
d'	PRP	de
Ô	NOM	ô
,	PUN	,
les	DET:ART	le
vices	NOM	vice
d'	PRP	de
un	DET:ART	un
tempérament	NOM	tempérament
appauvri	VER:pper	appauvrir
,	PUN	,
la	DET:ART	le
prédominance	NOM	prédominance
de	PRP	de
la	DET:ART	le
lymphe	NOM	lymphe
dans	PRP	dans
le	DET:ART	le
sang	NOM	sang
,	PUN	,
apparaissaient	VER:impf	apparaître
.	SENT	.
