	Gaboriau_CrimeOrcival_0	Gaboriau_CrimeOrcival_1	Gaboriau_CrimeOrcival_2	Gaboriau_CrimeOrcival_3	Gaboriau_CrimeOrcival_4	Gaboriau_CrimeOrcival_5	Gaboriau_CrimeOrcival_6	Gaboriau_CrimeOrcival_7	Gaboriau_CrimeOrcival_8	Gaboriau_CrimeOrcival_9	Gaboriau_CrimeOrcival_10	Gaboriau_CrimeOrcival_11	Gaboriau_CrimeOrcival_12	Gaboriau_CrimeOrcival_13	Gaboriau_CrimeOrcival_14	Gaboriau_CrimeOrcival_15	Gaboriau_CrimeOrcival_16	Gaboriau_CrimeOrcival_17	Gaboriau_CrimeOrcival_18	Gaboriau_CrimeOrcival_19	Gaboriau_CrimeOrcival_20	Gaboriau_CrimeOrcival_21	Gaboriau_CrimeOrcival_22	Gaboriau_CrimeOrcival_23	Gaboriau_CrimeOrcival_24	Gaboriau_CrimeOrcival_25	Gaboriau_CrimeOrcival_26	Gaboriau_CrimeOrcival_27	Gaboriau_CrimeOrcival_28	Gaboriau_CrimeOrcival_29	Gaboriau_CrimeOrcival_30	Gaboriau_CrimeOrcival_31	Gaboriau_CrimeOrcival_sum
,_PUN_,	386.0	361.0	372.0	343.0	402.0	419.0	406.0	397.0	393.0	434.0	406.0	434.0	436.0	413.0	397.0	410.0	412.0	408.0	383.0	388.0	389.0	376.0	385.0	349.0	384.0	340.0	317.0	368.0	346.0	395.0	403.0	52.0	12104.0
<EOS>_<EOS>_<EOS>	265.0	248.0	225.0	239.0	239.0	242.0	242.0	233.0	274.0	228.0	214.0	224.0	215.0	265.0	251.0	250.0	241.0	295.0	276.0	254.0	283.0	269.0	254.0	225.0	222.0	262.0	271.0	261.0	274.0	230.0	259.0	20.0	7750.0
._SENT_.	231.0	222.0	198.0	218.0	251.0	222.0	235.0	220.0	245.0	216.0	203.0	217.0	183.0	215.0	204.0	199.0	204.0	230.0	225.0	209.0	223.0	194.0	228.0	214.0	224.0	237.0	237.0	204.0	224.0	221.0	239.0	20.0	6812.0
de_PRP_de	195.0	177.0	164.0	167.0	174.0	145.0	181.0	187.0	178.0	162.0	170.0	177.0	189.0	171.0	150.0	164.0	165.0	134.0	130.0	181.0	156.0	156.0	155.0	204.0	176.0	190.0	175.0	160.0	182.0	165.0	156.0	26.0	5262.0
la_DET:ART_le	93.0	91.0	79.0	80.0	78.0	75.0	91.0	86.0	67.0	97.0	112.0	105.0	66.0	84.0	77.0	46.0	64.0	62.0	75.0	63.0	70.0	44.0	64.0	88.0	76.0	88.0	85.0	65.0	52.0	73.0	89.0	10.0	2395.0
à_PRP_à	78.0	72.0	73.0	64.0	73.0	60.0	59.0	65.0	54.0	62.0	80.0	72.0	81.0	71.0	70.0	94.0	97.0	83.0	92.0	85.0	70.0	59.0	68.0	74.0	79.0	91.0	85.0	80.0	74.0	77.0	73.0	7.0	2322.0
le_DET:ART_le	117.0	113.0	114.0	69.0	104.0	75.0	96.0	90.0	85.0	90.0	97.0	104.0	77.0	64.0	53.0	47.0	36.0	34.0	44.0	36.0	51.0	61.0	80.0	88.0	81.0	65.0	81.0	44.0	54.0	78.0	59.0	11.0	2298.0
et_KON_et	72.0	77.0	87.0	89.0	57.0	70.0	71.0	76.0	64.0	76.0	73.0	87.0	77.0	72.0	62.0	76.0	76.0	60.0	76.0	83.0	64.0	74.0	73.0	72.0	54.0	58.0	66.0	70.0	78.0	90.0	81.0	14.0	2275.0
il_PRO:PER_il	64.0	65.0	81.0	54.0	65.0	55.0	58.0	60.0	60.0	36.0	97.0	59.0	72.0	105.0	72.0	60.0	78.0	78.0	110.0	95.0	67.0	54.0	61.0	74.0	88.0	62.0	73.0	58.0	40.0	77.0	73.0	8.0	2159.0
un_DET:ART_un	61.0	45.0	68.0	40.0	58.0	60.0	48.0	46.0	49.0	52.0	51.0	52.0	55.0	51.0	60.0	54.0	50.0	44.0	52.0	37.0	45.0	46.0	47.0	42.0	64.0	60.0	74.0	53.0	55.0	55.0	42.0	11.0	1627.0
