trente	NUM	trente
Il	NAM	il
y	PRO:PER	y
quarante	NUM	quarante
,	PUN	,
alors	ADV	alors
ou	KON	ou
ans	NOM	an
Préface	NOM	préface
a	VER:pres	avoir
<SEG>
on	PRO:PER	on
quinze	NUM	quinze
mettait	VER:impf	mettre
près	ADV	près
jours	NOM	jour
pour	PRP	pour
rendre	VER:infi	rendre
se	PRO:PER	se
de	PRP	de
qu'	KON	que
<SEG>
n'	ADV	ne
qu'	KON	que
Marseille	NAM	marseille
de	PRP	de
était	VER:impf	être
,	PUN	,
on	PRO:PER	on
et	KON	et
à	PRP	à
Paris	NAM	paris
<SEG>
pas	ADV	pas
toujours	ADV	toujours
d'	PRP	de
à	PRP	à
,	PUN	,
arriver	VER:infi	arriver
destination	NOM	destination
fallait	VER:impf	falloir
il	PRO:PER	il
sûr	ADJ	sûr
<SEG>
doué	VER:pper	douer
de	PRP	de
être	VER:infi	être
courage	NOM	courage
se	PRO:PER	se
une	DET:ART	un
pour	PRP	pour
certaine	ADJ	certain
d'	PRP	de
dose	NOM	dose
<SEG>
de	PRP	de
vapeur	NOM	vapeur
risquer	VER:infi	risquer
sur	PRP	sur
un	DET:ART	un
délibéré	VER:pper	délibérer
à	PRP	à
propos	NOM	propos
partant	VER:ppre	partir
navire	NOM	navire
<SEG>
découverte	NOM	découverte
.	SENT	.
<EOS>	<EOS>	<EOS>
pays	NOM	pays
étrangers	ADJ	étranger
Les	DET:ART	le
à	PRP	à
étaient	VER:impf	être
entourés	VER:pper	entourer
la	DET:ART	le
<SEG>
auréole	NOM	auréole
êtres	NOM	être|êtres
d'	PRP	de
qui	PRO:REL	qui
une	DET:ART	un
mystérieuse	ADJ	mystérieux
regarder	VER:infi	regarder
des	PRP:det	du
comme	ADV	comme
faisait	VER:impf	faire
<SEG>
besoin	NOM	besoin
à	PRP	à
le	DET:ART	le
d'	PRP	de
part	NOM	part
aventures	NOM	aventure
que	PRO:REL	que
ou	KON	ou
le	DET:ART	le
ceux	PRO:DEM	celui
<SEG>
vers	PRP	vers
apprendre	VER:infi	apprendre
<EOS>	<EOS>	<EOS>
désir	NOM	désir
d'	PRP	de
les	DET:ART	le
.	SENT	.
poussaient	VER:impf	pousser
régions	NOM	région
inconnues	ADJ	inconnu
<SEG>
la	DET:ART	le
grâce	NOM	grâce
Aujourd'hui	ADV	aujourd'hui
de	PRP	de
chemins	NOM	chemin
,	PUN	,
vapeur	NOM	vapeur
à	PRP	à
aux	PRP:det	au
et	KON	et
<SEG>
le	DET:ART	le
,	PUN	,
existent	VER:pres	exister
les	DET:ART	le
plus	ADV	plus
besoin	NOM	besoin
n'	ADV	ne
distances	NOM	distance
fer	NOM	fer
;	PUN	;
<SEG>
tous	PRO:IND	tout
de	PRP	de
place	NOM	place
est	VER:pres	être
et	KON	et
général	ADJ	général
de	PRP	de
,	PUN	,
devenu	VER:pper	devenir
changer	VER:infi	changer
<SEG>
s'	PRO:PER	se
,	PUN	,
ou	KON	ou
,	PUN	,
ou	KON	ou
pauvres	ADJ	pauvre
riches	ADJ	riche
petits	ADJ	petit
,	PUN	,
grands	ADJ	grand
<SEG>
mieux	ADV	mieux
qui	PRO:REL	qui
vers	PRP	vers
à	PRP	à
.	SENT	.
les	DET:ART	le
éloignées	VER:pper	éloigner
élancent	VER:pres	élancer
mieux	ADV	mieux
régions	NOM	région
<SEG>
Qui	PRO:REL	qui
une	DET:ART	un
,	PUN	,
n'	ADV	ne
au	PRP:det	au
<EOS>	<EOS>	<EOS>
moins	ADV	moins
a	VER:pres	avoir
fait	VER:pper	faire
fois	NOM	fois
<SEG>
le	DET:ART	le
<EOS>	<EOS>	<EOS>
vie	NOM	vie
tour	NOM	tour
monde	NOM	monde
?	SENT	?
Seulement	ADV	seulement
du	PRP:det	du
dans	PRP	dans
sa	DET:POS	son
<SEG>
grand	ADJ	grand
,	PUN	,
comme	KON	comme
,	PUN	,
dit	VER:pper	dire
un	DET:ART	un
poète	NOM	poète
a	VER:pres	avoir
l'	PRO:PER	la|le
contemporain	ADJ	contemporain
<SEG>
on	PRO:PER	on
.	SENT	.
