	Malot_Ghislaine_0	Malot_Ghislaine_1	Malot_Ghislaine_2	Malot_Ghislaine_3	Malot_Ghislaine_4	Malot_Ghislaine_5	Malot_Ghislaine_6	Malot_Ghislaine_7	Malot_Ghislaine_8	Malot_Ghislaine_9	Malot_Ghislaine_10	Malot_Ghislaine_11	Malot_Ghislaine_12	Malot_Ghislaine_13	Malot_Ghislaine_14	Malot_Ghislaine_15	Malot_Ghislaine_16	Malot_Ghislaine_17	Malot_Ghislaine_18	Malot_Ghislaine_19	Malot_Ghislaine_20	Malot_Ghislaine_21	Malot_Ghislaine_22	Malot_Ghislaine_sum
,_PUN_,	339.0	321.0	333.0	329.0	300.0	289.0	313.0	288.0	316.0	318.0	347.0	314.0	340.0	275.0	323.0	305.0	275.0	299.0	317.0	295.0	275.0	317.0	143.0	6971.0
<EOS>_<EOS>_<EOS>	181.0	161.0	139.0	185.0	176.0	180.0	156.0	140.0	160.0	175.0	140.0	191.0	192.0	241.0	169.0	187.0	187.0	173.0	183.0	188.0	197.0	163.0	113.0	3977.0
de_PRP_de	196.0	170.0	178.0	160.0	150.0	148.0	124.0	189.0	134.0	144.0	158.0	146.0	147.0	150.0	160.0	111.0	146.0	147.0	127.0	145.0	167.0	154.0	62.0	3413.0
._SENT_.	177.0	121.0	126.0	141.0	148.0	146.0	132.0	116.0	138.0	134.0	114.0	141.0	151.0	167.0	134.0	149.0	136.0	138.0	140.0	155.0	157.0	143.0	90.0	3194.0
il_PRO:PER_il	45.0	35.0	123.0	94.0	143.0	95.0	90.0	72.0	82.0	67.0	48.0	58.0	102.0	105.0	124.0	98.0	69.0	65.0	96.0	101.0	98.0	126.0	28.0	1964.0
à_PRP_à	85.0	92.0	98.0	93.0	99.0	83.0	90.0	113.0	78.0	73.0	76.0	67.0	78.0	65.0	80.0	84.0	92.0	88.0	75.0	82.0	74.0	116.0	35.0	1916.0
et_KON_et	79.0	75.0	83.0	79.0	86.0	84.0	95.0	96.0	88.0	84.0	90.0	73.0	87.0	60.0	75.0	88.0	82.0	75.0	74.0	78.0	77.0	88.0	36.0	1832.0
la_DET:ART_le	77.0	73.0	70.0	90.0	103.0	94.0	76.0	84.0	80.0	73.0	74.0	86.0	74.0	61.0	98.0	90.0	77.0	63.0	79.0	82.0	95.0	84.0	49.0	1832.0
--_PUN_--	101.0	54.0	37.0	88.0	53.0	91.0	43.0	30.0	74.0	70.0	50.0	79.0	73.0	152.0	57.0	53.0	74.0	63.0	78.0	95.0	103.0	76.0	47.0	1641.0
elle_PRO:PER_elle	30.0	94.0	63.0	38.0	52.0	37.0	43.0	90.0	73.0	50.0	90.0	78.0	31.0	33.0	38.0	160.0	93.0	104.0	60.0	26.0	25.0	30.0	27.0	1365.0
