	effi-briest-1	sum
,	270	270
.	133	133
und	125	125
«	69	69
»	69	69
die	62	62
nicht	39	39
ich	36	36
in	33	33
so	33	33
sie	32	32
das	31	31
es	30	30
ist	30	30
er	30	30
der	29	29
aber	28	28
?	27	27
von	27	27
was	26	26
ein	24	24
du	24	24
auf	23	23
auch	22	22
zu	22	22
effi	21	21
wie	20	20
war	20	20
den	20	20
doch	19	19
mit	17	17
hier	17	17
;	17	17
ja	16	16
sich	15	15
mama	15	15
wieder	15	15
eine	15	15
noch	15	15
nun	14	14
sagte	13	13
an	13	13
immer	12	12
ihr	12	12
dem	12	12
wir	11	11
wenn	11	11
einen	11	11
:	11	11
dann	10	10
nur	10	10
daß	10	10
schon	10	10
als	9	9
aus	9	9
denn	9	9
nach	9	9
während	8	8
mir	8	8
da	8	8
hertha	8	8
bei	8	8
hulda	8	8
hat	8	8
–	7	7
innstetten	7	7
kann	7	7
...	7	7
man	7	7
nein	6	6
erst	6	6
alles	6	6
kam	6	6
drüben	6	6
einer	6	6
dabei	6	6
davon	6	6
des	6	6
wohl	6	6
weil	6	6
um	6	6
mich	6	6
sein	6	6
baron	6	6
ganz	6	6
tüte	5	5
will	5	5
eigentlich	5	5
's	5	5
alle	5	5
diesem	5	5
landrat	5	5
nichts	5	5
warum	5	5
drei	5	5
wurde	5	5
frau	5	5
vom	5	5
machen	5	5
habe	5	5
wäre	5	5
zeit	5	5
kein	5	5
oder	5	5
am	5	5
einem	5	5
paar	5	5
hatte	4	4
seitenflügel	4	4
wilke	4	4
haben	4	4
dich	4	4
bist	4	4
tochter	4	4
ihre	4	4
her	4	4
euch	4	4
sagt	4	4
papa	4	4
etwas	4	4
diesen	4	4
eben	4	4
kleine	4	4
fräulein	4	4
übrigens	4	4
alte	4	4
mutter	3	3
gute	3	3
singen	3	3
dame	3	3
sagtest	3	3
glaube	3	3
gesagt	3	3
waren	3	3
entsagung	3	3
arme	3	3
rondell	3	3
jeden	3	3
also	3	3
kommt	3	3
diese	3	3
über	3	3
seinem	3	3
gleich	3	3
kleinen	3	3
mädchen	3	3
mehr	3	3
kirchhofsmauer	3	3
mußt	3	3
deren	3	3
kriege	3	3
hin	3	3
gut	3	3
vielleicht	3	3
schuld	3	3
boot	3	3
seinen	3	3
tisch	3	3
keine	3	3
vor	3	3
geschichte	3	3
garten	3	3
freilich	3	3
sonst	3	3
genommen	3	3
vier	3	3
natürlich	3	3
schwantikow	3	3
ihrer	3	3
im	3	3
tat	3	3
gibt	3	3
ihn	3	3
heute	3	3
ihm	3	3
andere	3	3
sei	3	3
alten	3	3
tag	3	3
stachelbeeren	3	3
augen	3	3
