quantité	NOM	quantité
avertit	VER:pres	avertir
en	PRP	en
formidable	ADJ	formidable
l'	DET:ART	le
paupières	NOM	paupière
,	PUN	,
était	VER:impf	être
connu	VER:pper	connaître
lune	NOM	lune
Des	PRP:det	du
Mais	KON	mais
un	DET:ART	un
vers	PRP	vers
Hamilcar	NAM	hamilcar
d'	PRP	de
défends	VER:pres	défendre
n'	ADV	ne
présente	VER:pres	présenter
,	PUN	,
cas	NOM	cas
offrir	VER:infi	offrir
Dans	PRP	dans
,	PUN	,
me	PRO:PER	me
s'	PRO:PER	se
maussade	ADJ	maussade
verte	ADJ	vert
la	DET:ART	le
Bûche	NAM	bûche
<EOS>	<EOS>	<EOS>
ses	DET:POS	son
est	VER:pres	être
réunis	VER:pper	réunir
j'	PRO:PER	je
Partie	NOM	partie
ma	DET:POS	mon
mit	VER:simp	mettre
il	PRO:PER	il
choses	NOM	chose
<EOS>	<EOS>	<EOS>
.	SENT	.
était	VER:impf	être
cachaient	VER:impf	cacher
chaussé	VER:pper	chausser
,	PUN	,
par	PRP	par
et	KON	et
ce	PRO:DEM	ce
mon	DET:POS	mon
rien	ADV	rien
,	PUN	,
Le	DET:ART	le
malheur	NOM	malheur
qu'	PRO:REL	que
la	DET:ART	le
ne	ADV	ne
.	SENT	.
pure	ADJ	pur
sais	VER:pres	savoir
honorer	VER:infi	honorer
et	KON	et
<EOS>	<EOS>	<EOS>
Je	PRO:PER	je
à	PRP	à
vous	PRO:PER	vous
est	VER:pres	être
un	DET:ART	un
vous	PRO:PER	vous
,	PUN	,
il	PRO:PER	il
capitaine	NOM	capitaine
étant	VER:ppre	être
manuscrits	NOM	manuscrit
.	SENT	.
moi	PRO:PER	moi
car	KON	car
Coccoz	NAM	coccoz
vieillard	NOM	vieillard
les	DET:ART	le
vitres	NOM	vitre
main	NOM	main
m'	PRO:PER	me
mon	DET:POS	mon
prends	VER:pres	prendre
gouvernante	NOM	gouvernant
de	PRP	de
de	PRP	de
endossé	VER:pper	endosser
.	SENT	.
vous	PRO:PER	vous
Orient	NAM	orient
justes	ADJ	juste
Bourgogne	NAM	bourgogne
plume	NOM	plume
