petites	NOM	petit
cambra	VER:simp	cambrer
eut	VER:simp	avoir
sortit	VER:simp	sortir
Georges	NAM	georges
sous-officier	NOM	sous-officier
,	PUN	,
regards	NOM	regard
ouvrières	ADJ	ouvrier
un	DET:ART	un
étendent	VER:pres	étendre
PARTIE	NOM	partie
cent	NUM	cent
qui	PRO:REL	qui
--	PUN	--
avaient	VER:impf	avoir
familier	ADJ	familier
monnaie	NOM	monnaie
un	DET:ART	un
d'	PRP	de
militaire	ADJ	militaire
restaurant	NOM	restaurant
sa	DET:POS	son
sur	PRP	sur
sa	DET:POS	son
--	PUN	--
I	NUM	i
taille	NOM	taille
,	PUN	,
il	PRO:PER	il
il	PRO:PER	il
,	PUN	,
et	KON	et
garçon	NOM	garçon
épervier	NOM	épervier
maîtresse	NOM	maîtresse
femmes	NOM	femme
une	DET:ART	un
de	PRP	de
de	PRP	de
et	KON	et
,	PUN	,
et	KON	et
jeta	VER:simp	jeter
moustache	NOM	moustache
ces	PRO:DEM	ce
,	PUN	,
sous	PRP	sous
Quand	NAM	quand
rapide	ADJ	rapide
.	SENT	.
la	DET:ART	le
nature	NOM	nature
la	DET:ART	le
les	DET:ART	le
du	PRP:det	du
pose	NOM	pose
Duroy	NAM	duroy
Les	DET:ART	le
par	PRP	par
beau	ADJ	beau
,	PUN	,
coups	NOM	coup
ancien	ADJ	ancien
lui	PRO:PER	lui
s'	PRO:PER	se
de	PRP	de
par	PRP	par
,	PUN	,
circulaire	ADJ	circulaire
PREMIÈRE	NUM	premier
attardés	VER:pper	attarder
un	NUM	un
rendu	VER:pper	rendre
d'	PRP	de
geste	NOM	geste
portait	VER:impf	porter
levé	VER:pper	lever
<EOS>	<EOS>	<EOS>
dîneurs	NOM	dîneur
lui	PRO:PER	lui
tête	NOM	tête
Comme	KON	comme
des	PRP:det	du
<EOS>	<EOS>	<EOS>
et	KON	et
.	SENT	.
comme	ADV	comme
de	PRP	de
,	PUN	,
frisa	VER:simp	friser
vers	PRP	vers
la	DET:ART	le
sa	DET:POS	son
pièce	NOM	pièce
d'	PRP	de
trois	NUM	trois
caissière	NOM	caissier
joli	ADJ	joli
regard	NOM	regard
<SEG>
Lorsqu'	KON	lorsque
allait	VER:impf	aller
de	PRP	de
.	SENT	.
le	DET:ART	le
de	PRP	de
de	PRP	de
<EOS>	<EOS>	<EOS>
deux	NUM	deux
trottoir	NOM	trottoir
.	SENT	.
sans	PRP	sans
chapeau	NOM	chapeau
travers	NOM	travers
coiffée	VER:pper	coiffer
dîners	NOM	dîner
musique	NOM	musique
28	NUM	@card@
sans	PRP	sans
,	PUN	,
poussiéreux	ADJ	poussiéreux
Cela	PRO:DEM	cela
déjeuners	NOM	déjeuner
fut	VER:simp	être
instant	NOM	instant
bourgeoises	NOM	bourgeois
mois	NOM	moi|mois
<EOS>	<EOS>	<EOS>
,	PUN	,
mal	ADV	mal
se	PRO:PER	se
juin	NOM	juin
cette	PRO:DEM	ce
négligée	VER:pper	négliger
peignée	VER:pper	peigner
francs	NOM	franc
,	PUN	,
finir	VER:infi	finir
trois	NUM	trois
le	DET:ART	le
avec	PRP	avec
,	PUN	,
représentait	VER:impf	représenter
restait	VER:impf	rester
il	PRO:PER	il
vêtue	VER:pper	vêtir
quarante	NUM	quarante
immobile	ADJ	immobile
deux	NUM	deux
juste	ADJ	juste
demandant	VER:ppre	demander
au	PRP:det	au
il	PRO:PER	il
faire	VER:infi	faire
habituées	VER:pper	habituer
d'	PRP	de
demeura	VER:simp	demeurer
fixe	ADJ	fixe
gargote	NOM	gargote
un	DET:ART	un
toujours	ADV	toujours
il	PRO:PER	il
,	PUN	,
deux	NUM	deux
,	PUN	,
entre	PRP	entre
qu'	PRO:REL	que
sur	PRP	sur
en	PRP	en
dîners	NOM	dîner
lui	PRO:PER	lui
pour	PRP	pour
,	PUN	,
<EOS>	<EOS>	<EOS>
et	KON	et
maris	NOM	mari
un	DET:ART	un
leurs	DET:POS	leur
,	PUN	,
à	PRP	à
,	PUN	,
ce	PRO:DEM	ce
une	DET:ART	un
il	PRO:PER	il
au	PRP:det	au
et	KON	et
toujours	ADV	toujours
était	VER:impf	être
d'	PRP	de
robe	NOM	robe
ou	KON	ou
deux	NUM	deux
prix	NOM	prix
et	KON	et
.	SENT	.
déjeuners	NOM	déjeuner
poche	NOM	poche
On	PRO:PER	on
âges	NOM	âge
,	PUN	,
<SEG>
resterait	VER:cond	rester
mit	VER:simp	mettre
ainsi	ADV	ainsi
marchait	VER:impf	marcher
lieu	NOM	lieu
<EOS>	<EOS>	<EOS>
,	PUN	,
trente	NOM	trente
descendre	VER:infi	descendre
il	PRO:PER	il
.	SENT	.
qu'	KON	que
du	PRP:det	du
grand	ADJ	grand
au	PRP:det	au
dépense	NOM	dépense
uniforme	NOM	uniforme
lui	PRO:PER	lui
se	PRO:PER	se
<EOS>	<EOS>	<EOS>
hussards	NOM	hussard
au	PRP:det	au
coûtaient	VER:impf	coûter
Il	PRO:PER	il
l'	DET:ART	le
du	PRP:det	du
saucisson	NOM	saucisson
sous	PRP	sous
plus	ADV	plus
il	PRO:PER	il
nuits	NOM	nuit
là	ADV	là
temps	NOM	temps
des	PRP:det	du
<EOS>	<EOS>	<EOS>
portait	VER:impf	porter
soir	NOM	soir
réfléchit	VER:pres	réfléchir
collations	NOM	collation
deux	NUM	deux
était	VER:impf	être
,	PUN	,
de	PRP	de
se	PRO:PER	se
et	KON	et
contentant	VER:ppre	contenter
des	PRP:det	du
déjeuners	NOM	déjeuner
que	KON	que
ce	PRO:DEM	ce
C'	PRO:DEM	ce
pain	NOM	pain
,	PUN	,
choix	NOM	choix
,	PUN	,
au	PRP:det	au
sur	PRP	sur
au	PRP:det	au
à	PRP	à
,	PUN	,
en	PRP	en
vingt	NUM	vingt
vingt-deux	NUM	vingt-deux
rue	NOM	rue
encore	ADV	encore
les	DET:ART	le
boni	NOM	boni
un	DET:ART	un
représentait	VER:impf	représenter
bocks	NOM	bock
des	PRP:det	du
sa	DET:POS	son
la	DET:ART	le
.	SENT	.
Notre-Dame-de-Lorette	NAM	notre-dame-de-lorette
où	PRO:REL	où
son	DET:POS	son
plaisir	NOM	plaisir
ceux	PRO:DEM	celui
matin	NOM	matin
et	KON	et
repas	NOM	repas
boulevard	NOM	boulevard
grande	ADJ	grand
de	PRP	de
.	SENT	.
le	DET:ART	le
il	PRO:PER	il
de	PRP	de
centimes	NOM	centime
,	PUN	,
,	PUN	,
et	KON	et
franc	NOM	franc
;	PUN	;
deux	NUM	deux
étant	VER:ppre	être
que	PRO:REL	que
Il	PRO:PER	il
qui	PRO:REL	qui
<SEG>
<EOS>	<EOS>	<EOS>
civil	NOM	civil
.	SENT	.
Il	PRO:PER	il
ville	NOM	ville
,	PUN	,
,	PUN	,
heurtant	VER:ppre	heurter
défraîchi	VER:pper	défraîchir
brutalement	ADV	brutalement
à	PRP	à
rue	NOM	rue
.	SENT	.
inclinait	VER:impf	incliner
