1	NUM	@card@
Céline	NAM	céline
du	PRP:det	du
heures	NOM	heure
matin	NOM	matin
sonnèrent	VER:simp	sonner
Chapitre	NOM	chapitre
<EOS>	<EOS>	<EOS>
.	SENT	.
Deux	ABR	deux
<SEG>
à	PRP	à
consiste	VER:pres	consister
à	PRP	à
inepte	ADJ	inepte
cette	PRO:DEM	ce
fit	VER:simp	faire
sa	DET:POS	son
plaisanterie	NOM	plaisanterie
soeur	NOM	sœur
qui	PRO:REL	qui
<SEG>
endormie	VER:pper	endormir
du	PRP:det	du
placer	VER:infi	placer
nez	NOM	nez
près	ADV	près
d'	PRP	de
doigt	NOM	doigt
personne	NOM	personne
une	DET:ART	un
son	DET:POS	son
<SEG>
<EOS>	<EOS>	<EOS>
sa	DET:POS	son
à	PRP	à
brusquement	ADV	brusquement
.	SENT	.
réveiller	VER:infi	réveiller
Désirée	VER:pper	désirer
frappa	VER:simp	frapper
la	PRO:PER	la
et	KON	et
<SEG>
index	NOM	index
l'	DET:ART	le
narine	NOM	narine
de	PRP	de
<EOS>	<EOS>	<EOS>
gauche	ADJ	gauche
.	SENT	.
-	PUN	-
contre	PRP	contre
Céline	NAM	céline
<SEG>
cria-t-elle	NOM	cria-t-elle
est	VER:pres	être
<EOS>	<EOS>	<EOS>
<EOS>	<EOS>	<EOS>
c'	PRO:DEM	ce
.	SENT	.
bête	ADJ	bête
Les	DET:ART	le
!	SENT	!
Que	KON	que
<SEG>
femmes	NOM	femme
Allons	VER:pres	aller
<EOS>	<EOS>	<EOS>
.	SENT	.
se	PRO:PER	se
mesdames	NOM	mesdames
tordirent	VER:simp	tordre
,	PUN	,
,	PUN	,
--	PUN	--
<SEG>
silence	NOM	silence
un	DET:ART	un
.	SENT	.
,	PUN	,
peu	ADV	peu
<EOS>	<EOS>	<EOS>
la	DET:ART	le
hasarda	VER:simp	hasarder
contre-maître	NOM	contre-maître
de	PRP	de
<SEG>
que	PRO:REL	que
on	PRO:PER	on
soudain	ADV	soudain
L'	PRO:PER	la|le
traversa	VER:simp	traverser
un	DET:ART	un
bourdonnement	NOM	bourdonnement
long	ADJ	long
entendit	VER:simp	entendre
comme	ADV	comme
<SEG>
un	DET:ART	un
rire	NOM	rire
puis	ADV	puis
la	DET:ART	le
,	PUN	,
d'	PRP	de
deux	NUM	deux
flûte	NOM	flûte
voix	NOM	voix
claironnèrent	VER:simp	claironner
<SEG>
le	DET:ART	le
soutenues	VER:pper	soutenir
une	DET:ART	un
par	PRP	par
,	PUN	,
chanson	NOM	chanson
des	PRP:det	du
presses	NOM	presse
,	PUN	,
ronronnement	NOM	ronronnement
<SEG>
,	PUN	,
saccagés	VER:pper	saccager
gosiers	NOM	gosier
des	PRP:det	du
<EOS>	<EOS>	<EOS>
patriotique	ADJ	patriotique
Les	DET:ART	le
.	SENT	.
hommes	NOM	homme
gosiers	NOM	gosier
<SEG>
tonnèrent	VER:simp	tonner
trois-six	NOM	trois-six
leur	DET:POS	leur
,	PUN	,
le	DET:ART	le
également	ADV	également
trouant	VER:ppre	trouer
de	PRP	de
par	PRP	par
,	PUN	,
<SEG>
rauque	VER:pres	rauquer
des	PRP:det	du
toux	NOM	toux
Il	PRO:PER	il
les	DET:ART	le
cris	NOM	cri
:	PUN	:
grêles	ADJ	grêle
filles	NOM	fille
""""	PUN:cit	""""
<SEG>
pour	PRP	pour
mort	VER:pper	mourir
mort	VER:pper	mourir
stoïque	ADJ	stoïque
il	PRO:PER	il
,	PUN	,
est	VER:pres	être
est	VER:pres	être
soldat	NOM	soldat
,	PUN	,
<SEG>
Allons	VER:pres	aller
républi-ique	NOM	républi-ique
,	PUN	,
<EOS>	<EOS>	<EOS>
--	PUN	--
la	DET:ART	le
mesdames	NOM	mesdames
,	PUN	,
""""	PUN:cit	""""
!	SENT	!
<SEG>
.	SENT	.
hasarda	VER:simp	hasarder
<EOS>	<EOS>	<EOS>
silence	NOM	silence
un	DET:ART	un
contre-maître	NOM	contre-maître
de	PRP	de
,	PUN	,
la	DET:ART	le
peu	ADV	peu
<SEG>
et	KON	et
mugit	VER:pres	mugir
massiquots	NOM	massiquots
,	PUN	,
presse	NOM	presse
les	DET:ART	le
haleta	VER:simp	haleter
La	DET:ART	le
plus	ADV	plus
fort	ADJ	fort
<SEG>
entendre	VER:infi	entendre
les	DET:ART	le
leur	DET:POS	leur
,	PUN	,
grincèrent	VER:simp	grincer
de	PRP	de
sifflement	NOM	sifflement
couteaux	NOM	couteau
firent	VER:simp	faire
bois	NOM	bois
<SEG>
papier	NOM	papier
le	DET:ART	le
bancs	NOM	banc
petits	ADJ	petit
qui	PRO:REL	qui
les	DET:ART	le
tombent	VER:pres	tomber
doux	ADJ	doux
sur	PRP	sur
;	PUN	;
<SEG>
ballots	NOM	ballot
jette	VER:pres	jeter
table	NOM	table
sur	PRP	sur
la	DET:ART	le
on	PRO:PER	on
qu'	PRO:REL	que
les	DET:ART	le
,	PUN	,
,	PUN	,
<SEG>
par	PRP	par
,	PUN	,
interrompus	VER:pper	interrompre
,	PUN	,
gaz	NOM	gaz
vibrant	VER:ppre	vibrer
le	DET:ART	le
des	PRP:det	du
jet	NOM	jet
retentirent	VER:simp	retentir
<SEG>
le	DET:ART	le
fusèrent	VER:simp	fuser
du	PRP:det	du
rires	NOM	rire
.	SENT	.
<EOS>	<EOS>	<EOS>
poêle	NOM	poêle
bourdon	NOM	bourdon
par	PRP	par
Des	PRP:det	du
<SEG>
atelier	NOM	atelier
d'	PRP	de
de	PRP	de
à	PRP	à
bout	NOM	bout
autre	ADJ	autre
l'	DET:ART	le
un	DET:ART	un
,	PUN	,
l'	DET:ART	le
<SEG>
reprirent	VER:simp	reprendre
éteignirent	VER:simp	éteindre
en	PRP	en
long	ADJ	long
puis	ADV	puis
un	DET:ART	un
.	SENT	.
roulement	NOM	roulement
,	PUN	,
s'	PRO:PER	se
<SEG>
<EOS>	<EOS>	<EOS>
de	PRP	de
!	SENT	!
,	PUN	,
<EOS>	<EOS>	<EOS>
mesdames	NOM	mesdames
Mesdames	NAM	mesdames
--	PUN	--
Un	DET:ART	un
peu	ADV	peu
<SEG>
.	SENT	.
<EOS>	<EOS>	<EOS>
hasarda	VER:simp	hasarder
la	DET:ART	le
<EOS>	<EOS>	<EOS>
silence	NOM	silence
!	SENT	!
Çà	ADV	çà
contre-maître	NOM	contre-maître
,	PUN	,
<SEG>
,	PUN	,
dégingandées	ADJ	dégingandé
des	PRP:det	du
,	PUN	,
de	PRP	de
gros	ADJ	gros
là	ADV	là
grondaient	VER:impf	gronder
joies	NOM	joie
rhumes	NOM	rhume
<SEG>
étouffaient	VER:impf	étouffer
braire	VER:infi	braire
,	PUN	,
à	PRP	à
des	PRP:det	du
çà	ADV	çà
et	KON	et
,	PUN	,
là	ADV	là
s'	PRO:PER	se
<SEG>
,	PUN	,
raclements	NOM	raclement
gorges	NOM	gorge
déchiraient	VER:impf	déchirer
la	DET:ART	le
roulades	NOM	roulade
tempête	NOM	tempête
des	PRP:det	du
de	PRP	de
qui	PRO:REL	qui
<SEG>
.	SENT	.
allait	VER:impf	aller
croissant	ADJ	croissant
,	PUN	,
coin	NOM	coin
Dans	PRP	dans
un	DET:ART	un
<EOS>	<EOS>	<EOS>
un	DET:ART	un
rire	NOM	rire
<SEG>
sautilla	VER:simp	sautiller
,	PUN	,
aigu	ADJ	aigu
,	PUN	,
du	PRP:det	du
au-dessus	ADV	au-dessus
dansant	VER:ppre	danser
seul	ADJ	seul
.	SENT	.
tumulte	NOM	tumulte
<SEG>
instant	NOM	instant
répit	NOM	répit
Il	PRO:PER	il
<EOS>	<EOS>	<EOS>
y	PRO:PER	y
de	PRP	de
.	SENT	.
<EOS>	<EOS>	<EOS>
un	DET:ART	un
eut	VER:simp	avoir
<SEG>
miaula	VER:simp	miauler
une	DET:ART	un
chaleur	NOM	chaleur
,	PUN	,
en	PRP	en
chat	NOM	chat
Un	DET:ART	un
furieusement	ADV	furieusement
puis	ADV	puis
voix	NOM	voix
<SEG>
