	Dickens_Cricket_0	Dickens_Cricket_1	Dickens_Cricket_2	Dickens_Cricket_3	Dickens_Cricket_4	Dickens_Cricket_5	Dickens_Cricket_6	Dickens_Cricket_7	Dickens_Cricket_8	Dickens_Cricket_sum
,_PUN_,	412.0	418.0	399.0	394.0	417.0	358.0	382.0	402.0	10.0	3192.0
"""_PUQ_"""	89.0	280.0	175.0	212.0	180.0	126.0	273.0	141.0	0.0	1476.0
the_AT0_the	223.0	181.0	180.0	184.0	176.0	218.0	123.0	150.0	8.0	1443.0
._SENT_.	134.0	208.0	156.0	169.0	164.0	165.0	201.0	151.0	3.0	1351.0
and_CJC_and	162.0	101.0	157.0	148.0	132.0	180.0	123.0	163.0	7.0	1173.0
of_PRF_of	114.0	84.0	118.0	97.0	80.0	76.0	64.0	62.0	3.0	698.0
a_AT0_a	111.0	103.0	95.0	98.0	70.0	57.0	61.0	92.0	2.0	689.0
I_PNP_i	68.0	62.0	60.0	70.0	56.0	30.0	150.0	97.0	2.0	595.0
!_SENT_!	52.0	69.0	85.0	47.0	79.0	43.0	84.0	69.0	2.0	530.0
in_PRP_in	61.0	48.0	76.0	70.0	68.0	60.0	53.0	66.0	1.0	503.0
to_TO0_to	59.0	50.0	39.0	79.0	60.0	55.0	44.0	66.0	0.0	452.0
it_PNP_it	80.0	47.0	50.0	53.0	51.0	63.0	49.0	48.0	1.0	442.0
;_PUN_;	68.0	40.0	56.0	50.0	43.0	67.0	40.0	66.0	3.0	433.0
was_VBD_be	49.0	40.0	45.0	56.0	55.0	52.0	30.0	65.0	0.0	392.0
his_DPS_he	30.0	49.0	52.0	40.0	37.0	69.0	26.0	33.0	0.0	336.0
you_PNP_you	44.0	44.0	33.0	41.0	31.0	16.0	61.0	61.0	0.0	331.0
to_PRP_to	33.0	36.0	37.0	32.0	41.0	42.0	43.0	43.0	2.0	309.0
her_DPS_she	29.0	14.0	32.0	21.0	41.0	53.0	60.0	35.0	0.0	285.0
he_PNP_he	28.0	51.0	28.0	32.0	43.0	53.0	12.0	25.0	1.0	273.0
she_PNP_she	19.0	14.0	19.0	25.0	54.0	28.0	49.0	51.0	1.0	260.0
with_PRP_with	38.0	32.0	29.0	32.0	30.0	38.0	33.0	25.0	2.0	259.0
had_VHD_have	28.0	23.0	33.0	26.0	34.0	43.0	20.0	41.0	0.0	248.0
for_PRP_for	24.0	34.0	29.0	32.0	34.0	33.0	29.0	29.0	1.0	245.0
that_CJT_that	33.0	22.0	30.0	24.0	34.0	20.0	29.0	39.0	1.0	232.0
said_VVD_say|said	13.0	43.0	25.0	27.0	29.0	19.0	38.0	28.0	0.0	222.0
at_PRP_at	34.0	37.0	21.0	16.0	24.0	33.0	14.0	27.0	1.0	207.0
as_CJS_as	22.0	28.0	29.0	21.0	23.0	26.0	21.0	29.0	1.0	200.0
him_PNP_he	10.0	21.0	24.0	23.0	17.0	52.0	27.0	25.0	0.0	199.0
?_SENT_?	12.0	51.0	26.0	21.0	19.0	22.0	28.0	19.0	1.0	199.0
her_PNP_she	4.0	13.0	10.0	13.0	27.0	43.0	48.0	22.0	0.0	180.0
n't_XX0_not	32.0	27.0	20.0	23.0	18.0	9.0	23.0	28.0	0.0	180.0
