I	NUM	i
Un	ABR	un
Chapitre	NOM	chapitre
–	PUN	–
<EOS>	<EOS>	<EOS>
.	SENT	.
–	PUN	–
tempête	NOM	tempête
La	DET:ART	le
schooner	NOM	schooner
<SEG>
désemparé	VER:pper	désemparer
le	DET:ART	le
garçons	NOM	garçon
pont	NOM	pont
jeunes	ADJ	jeune
.	SENT	.
sur	PRP	sur
Quatre	NOM	quatre
–	PUN	–
<EOS>	<EOS>	<EOS>
<SEG>
.	SENT	.
Sloughi	NOM	sloughi
en	PRP	en
lambeaux	NOM	lambeau
misaine	NOM	misaine
La	DET:ART	le
du	PRP:det	du
.	SENT	.
<EOS>	<EOS>	<EOS>
–	PUN	–
<SEG>
<EOS>	<EOS>	<EOS>
–	PUN	–
yacht	NOM	yacht
du	PRP:det	du
intérieur	NOM	intérieur
l'	DET:ART	le
<EOS>	<EOS>	<EOS>
.	SENT	.
à	PRP	à
Visite	NOM	visite
<SEG>
.	SENT	.
à	PRP	à
étranglé	ADJ	étranglé
Le	DET:ART	le
<EOS>	<EOS>	<EOS>
Une	NAM	une
–	PUN	–
–	PUN	–
demi	NOM	demi
mousse	NOM	mousse
<SEG>
l'	DET:ART	le
à	PRP	à
par	PRP	par
lame	VER:pres	lamer
.	SENT	.
arrière	NOM	arrière
<EOS>	<EOS>	<EOS>
terre	NOM	terre
–	PUN	–
La	DET:ART	le
<SEG>
Le	DET:ART	le
brumes	NOM	brume
les	DET:ART	le
.	SENT	.
du	PRP:det	du
<EOS>	<EOS>	<EOS>
matin	NOM	matin
–	PUN	–
banc	NOM	banc
travers	NOM	travers
<SEG>
9	NUM	@card@
nuit	NOM	nuit
la	DET:ART	le
récifs	NOM	récif
de	PRP	de
du	PRP:det	du
<EOS>	<EOS>	<EOS>
mars	NOM	mars
.	SENT	.
Pendant	PRP	pendant
<SEG>
1860	NUM	@card@
la	DET:ART	le
nuages	NOM	nuage
mer	NOM	mer
avec	PRP	avec
,	PUN	,
confondant	VER:ppre	confondre
se	PRO:PER	se
les	DET:ART	le
,	PUN	,
<SEG>
vue	NOM	vue
brasses	NOM	brasse
la	DET:ART	le
à	PRP	à
,	PUN	,
quelques	PRO:IND	quelque
limitaient	VER:impf	limiter
la	DET:ART	le
portée	NOM	portée
de	PRP	de
<SEG>
démontée	ADJ	démonté
mer	NOM	mer
les	DET:ART	le
Sur	PRP	sur
cette	PRO:DEM	ce
,	PUN	,
dont	PRO:REL	dont
<EOS>	<EOS>	<EOS>
.	SENT	.
lames	NOM	lame
<SEG>
un	DET:ART	un
,	PUN	,
léger	ADJ	léger
bâtiment	NOM	bâtiment
déferlaient	VER:impf	déferler
lueurs	NOM	lueur
en	PRP	en
livides	ADJ	livide
projetant	VER:ppre	projeter
des	PRP:det	du
<SEG>
toile	NOM	toile
à	PRP	à
