I	NUM	i
cabinet	NOM	cabinet
clair	ADJ	clair
,	PUN	,
bruit	NOM	bruit
son	DET:POS	son
de	PRP	de
travail	NOM	travail
Dans	VER:simp	dans
au	PRP:det	au
<SEG>
du	PRP:det	du
,	PUN	,
mécanique	ADJ	mécanique
exécutaient	VER:impf	exécuter
piano	NOM	piano
ses	DET:POS	son
filles	NOM	fille
sur	PRP	sur
lequel	PRO:REL	lequel
et	KON	et
<SEG>
difficiles	ADJ	difficile
Bergeret	NAM	bergeret
non	ADV	non
exercices	NOM	exercice
.	SENT	.
loin	ADV	loin
M	VER:pper	m
,	PUN	,
des	PRP:det	du
,	PUN	,
<SEG>
Faculté	NOM	faculté
,	PUN	,
la	DET:ART	le
à	PRP	à
des	PRP:det	du
conférences	NOM	conférence
,	PUN	,
maître	NOM	maître
de	PRP	de
lettres	NOM	lettre
<SEG>
sa	DET:POS	son
leçon	NOM	leçon
préparait	VER:impf	préparer
huitième	ADJ	huitième
de	PRP	de
Énéide	NOM	énéide
sur	PRP	sur
le	DET:ART	le
livre	NOM	livre
l'	DET:ART	le
<SEG>
<EOS>	<EOS>	<EOS>
.	SENT	.
travail	NOM	travail
cabinet	NOM	cabinet
Bergeret	NOM	bergeret
M	NOM	m
de	PRP	de
Le	DET:ART	le
.	SENT	.
de	PRP	de
<SEG>
qui	PRO:REL	qui
n'	ADV	ne
fenêtre	NOM	fenêtre
mais	KON	mais
,	PUN	,
avait	VER:impf	avoir
,	PUN	,
qu'	ADV	qu'
grande	ADJ	grand
une	DET:ART	un
<SEG>
et	KON	et
tout	ADV	tout
occupait	VER:impf	occuper
entrer	VER:infi	entrer
côté	NOM	côté
laissait	VER:impf	laisser
en	PRO:PER	en
un	DET:ART	un
plus	ADV	plus
qui	PRO:REL	qui
<SEG>
que	KON	que
croisées	NOM	croisée
car	KON	car
d'	PRP	de
,	PUN	,
lumière	NOM	lumière
les	DET:ART	le
de	PRP	de
en	PRO:PER	en
air	NOM	air
<SEG>
offusquées	VER:pper	offusquer
un	DET:ART	un
par	PRP	par
mur	NOM	mur
mal	ADV	mal
vitres	NOM	vitre
et	KON	et
jointes	VER:pper	joindre
les	DET:ART	le
étaient	VER:impf	être
<SEG>
contre	PRP	contre
.	SENT	.
haut	ADJ	haut
<EOS>	<EOS>	<EOS>
fenêtre	NOM	fenêtre
,	PUN	,
proche	ADJ	proche
Poussée	VER:pper	pousser
cette	PRO:DEM	ce
et	KON	et
<SEG>
.	SENT	.
M	NOM	m
de	PRP	de
Bergeret	NOM	bergeret
reflets	NOM	reflet
recevait	VER:impf	recevoir
