	Malot_ClotildeMartory_0	Malot_ClotildeMartory_1	Malot_ClotildeMartory_2	Malot_ClotildeMartory_3	Malot_ClotildeMartory_4	Malot_ClotildeMartory_5	Malot_ClotildeMartory_6	Malot_ClotildeMartory_7	Malot_ClotildeMartory_8	Malot_ClotildeMartory_9	Malot_ClotildeMartory_10	Malot_ClotildeMartory_11	Malot_ClotildeMartory_sum
,_PUN_,	292.0	332.0	289.0	331.0	322.0	270.0	325.0	311.0	270.0	301.0	265.0	81.0	3389.0
._SENT_.	178.0	172.0	163.0	177.0	185.0	180.0	166.0	212.0	237.0	172.0	207.0	29.0	2078.0
de_PRP_de	152.0	155.0	151.0	147.0	152.0	186.0	139.0	181.0	160.0	144.0	159.0	51.0	1777.0
et_KON_et	104.0	100.0	128.0	92.0	102.0	81.0	102.0	99.0	63.0	95.0	96.0	28.0	1090.0
à_PRP_à	93.0	112.0	74.0	84.0	80.0	80.0	86.0	64.0	75.0	74.0	111.0	23.0	956.0
je_PRO:PER_je	78.0	90.0	97.0	128.0	76.0	73.0	96.0	64.0	76.0	80.0	84.0	10.0	952.0
la_DET:ART_le	84.0	68.0	60.0	76.0	71.0	63.0	77.0	82.0	63.0	60.0	90.0	22.0	816.0
le_DET:ART_le	62.0	62.0	69.0	41.0	83.0	58.0	56.0	64.0	71.0	46.0	43.0	22.0	677.0
pas_ADV_pas	53.0	60.0	52.0	84.0	53.0	59.0	56.0	49.0	67.0	55.0	45.0	11.0	644.0
ne_ADV_ne	51.0	49.0	52.0	66.0	50.0	61.0	53.0	40.0	67.0	56.0	38.0	12.0	595.0
que_KON_que	45.0	35.0	46.0	59.0	48.0	73.0	50.0	42.0	56.0	70.0	40.0	9.0	573.0
me_PRO:PER_me	47.0	56.0	47.0	67.0	51.0	41.0	52.0	37.0	57.0	47.0	58.0	9.0	569.0
vous_PRO:PER_vous	71.0	11.0	29.0	82.0	39.0	125.0	44.0	32.0	27.0	87.0	8.0	1.0	556.0
qui_PRO:REL_qui	45.0	47.0	65.0	38.0	51.0	49.0	52.0	53.0	43.0	46.0	41.0	15.0	545.0
un_DET:ART_un	40.0	64.0	65.0	24.0	58.0	46.0	50.0	35.0	44.0	47.0	37.0	11.0	521.0
est_VER:pres_être	52.0	37.0	81.0	44.0	26.0	62.0	52.0	35.0	59.0	43.0	24.0	3.0	518.0
;_PUN_;	64.0	46.0	52.0	33.0	41.0	39.0	61.0	35.0	47.0	45.0	44.0	3.0	510.0
--_PUN_--	65.0	32.0	23.0	43.0	51.0	72.0	35.0	52.0	48.0	46.0	19.0	1.0	487.0
il_PRO:PER_il	34.0	55.0	22.0	24.0	46.0	49.0	39.0	42.0	68.0	55.0	37.0	14.0	485.0
les_DET:ART_le	29.0	41.0	58.0	39.0	43.0	46.0	41.0	49.0	35.0	38.0	38.0	26.0	483.0
dans_PRP_dans	48.0	39.0	45.0	39.0	41.0	41.0	53.0	46.0	28.0	51.0	41.0	9.0	481.0
d'_PRP_de	55.0	41.0	46.0	31.0	49.0	41.0	34.0	46.0	31.0	47.0	41.0	11.0	473.0
n'_ADV_ne	43.0	38.0	28.0	49.0	41.0	41.0	44.0	42.0	51.0	35.0	39.0	7.0	458.0
l'_DET:ART_le	30.0	35.0	30.0	31.0	43.0	42.0	32.0	37.0	29.0	57.0	51.0	17.0	434.0
ce_PRO:DEM_ce	45.0	40.0	41.0	32.0	24.0	48.0	25.0	33.0	48.0	41.0	25.0	12.0	414.0
m'_PRO:PER_me	30.0	43.0	35.0	46.0	38.0	31.0	32.0	34.0	40.0	39.0	40.0	4.0	412.0
une_DET:ART_un	41.0	32.0	37.0	29.0	36.0	26.0	40.0	41.0	31.0	45.0	36.0	6.0	400.0
j'_PRO:PER_je	33.0	36.0	43.0	43.0	30.0	17.0	24.0	29.0	29.0	36.0	44.0	4.0	368.0
elle_PRO:PER_elle	39.0	15.0	44.0	58.0	27.0	18.0	45.0	25.0	34.0	32.0	28.0	0.0	365.0
pour_PRP_pour	39.0	38.0	30.0	25.0	28.0	33.0	28.0	19.0	37.0	46.0	38.0	3.0	364.0
en_PRP_en	20.0	28.0	25.0	23.0	40.0	26.0	36.0	33.0	36.0	27.0	39.0	7.0	340.0
?_SENT_?	20.0	21.0	19.0	38.0	34.0	35.0	17.0	45.0	32.0	21.0	18.0	0.0	300.0
des_PRP:det_du	22.0	32.0	32.0	10.0	19.0	39.0	22.0	32.0	8.0	33.0	25.0	21.0	295.0
était_VER:impf_être	34.0	20.0	14.0	29.0	32.0	14.0	20.0	24.0	33.0	24.0	36.0	13.0	293.0
nous_PRO:PER_nous	22.0	18.0	25.0	23.0	43.0	10.0	42.0	10.0	22.0	31.0	33.0	4.0	283.0
que_PRO:REL_que	26.0	30.0	22.0	36.0	13.0	24.0	17.0	17.0	34.0	37.0	22.0	5.0	283.0
au_PRP:det_au	13.0	18.0	17.0	19.0	28.0	14.0	30.0	26.0	20.0	24.0	34.0	8.0	251.0
se_PRO:PER_se	24.0	17.0	23.0	26.0	22.0	22.0	23.0	20.0	17.0	17.0	21.0	5.0	237.0
Je_PRO:PER_je	20.0	17.0	15.0	23.0	12.0	22.0	16.0	24.0	25.0	24.0	35.0	4.0	237.0
a_VER:pres_avoir	15.0	17.0	25.0	11.0	14.0	33.0	26.0	32.0	19.0	21.0	22.0	1.0	236.0
mon_DET:POS_mon	32.0	21.0	30.0	35.0	15.0	11.0	15.0	9.0	13.0	22.0	30.0	1.0	234.0
