Lotus	NAM	lotus
-là	ADV	là
Partie	NOM	partie
temps	NOM	temps
1	NUM	@card@
En	NAM	en
,	PUN	,
--	PUN	--
ce	PRO:DEM	ce
Le	DET:ART	le
<SEG>
était	VER:impf	être
d'	PRP	de
peuplé	VER:pper	peupler
désert	NOM	désert
le	DET:ART	le
les	DET:ART	le
.	SENT	.
anachorètes	NOM	anachorète
<EOS>	<EOS>	<EOS>
Sur	PRP	sur
<SEG>
rives	NOM	rive
innombrables	ADJ	innombrable
du	PRP:det	du
bâties	VER:pper	bâtir
,	PUN	,
,	PUN	,
d'	PRP	de
deux	NUM	deux
cabanes	NOM	cabane
Nil	NAM	nil
<SEG>
de	PRP	de
la	DET:ART	le
par	PRP	par
solitaires	NOM	solitaire
branchages	NOM	branchage
main	NOM	main
argile	NOM	argile
et	KON	et
d'	PRP	de
des	PRP:det	du
<SEG>
semées	VER:pper	semer
des	PRP:det	du
étaient	VER:impf	être
à	PRP	à
autres	ADJ	autre
quelque	PRO:IND	quelque
les	DET:ART	le
,	PUN	,
distance	NOM	distance
unes	NOM	un
<SEG>
pouvaient	VER:impf	pouvoir
habitaient	VER:impf	habiter
façon	NOM	façon
qui	PRO:REL	qui
de	PRP	de
ceux	PRO:DEM	celui
que	KON	que
vivre	VER:infi	vivre
,	PUN	,
les	PRO:PER	la|le
<SEG>
.	SENT	.
s'	PRO:PER	se
et	KON	et
entr'aider	VER:infi	entr'aider
pourtant	ADV	pourtant
isolés	VER:pper	isoler
Des	PRP:det	du
au	PRP:det	au
besoin	NOM	besoin
<EOS>	<EOS>	<EOS>
<SEG>
signe	NOM	signe
s'	PRO:PER	se
,	PUN	,
surmontées	VER:pper	surmonter
croix	NOM	croix
la	DET:ART	le
,	PUN	,
du	PRP:det	du
de	PRP	de
églises	NOM	église
<SEG>
des	PRP:det	du
loin	ADV	loin
en	PRP	en
les	DET:ART	le
et	KON	et
de	PRP	de
loin	ADV	loin
cabanes	NOM	cabane
élevaient	VER:impf	élever
au-dessus	ADV	au-dessus
<SEG>
,	PUN	,
jours	NOM	jour
dans	PRP	dans
les	DET:ART	le
de	PRP	de
moines	NOM	moine
rendaient	VER:impf	rendre
y	PRO:PER	y
fête	NOM	fête
s'	PRO:PER	se
<SEG>
pour	PRP	pour
aux	PRP:det	au
la	DET:ART	le
célébration	NOM	célébration
à	PRP	à
participer	VER:infi	participer
et	KON	et
mystères	NOM	mystère
des	PRP:det	du
assister	VER:infi	assister
<SEG>
y	PRO:PER	y
avait	VER:impf	avoir
au	PRP:det	au
Il	PRO:PER	il
aussi	ADV	aussi
,	PUN	,
sacrements	NOM	sacrement
tout	ADV	tout
<EOS>	<EOS>	<EOS>
.	SENT	.
<SEG>
,	PUN	,
bord	NOM	bord
des	PRP:det	du
où	PRO:REL	où
cénobites	NOM	cénobite
fleuve	NOM	fleuve
maisons	NOM	maison
les	DET:ART	le
,	PUN	,
du	PRP:det	du
<SEG>
ne	ADV	ne
réunissaient	VER:impf	réunir
se	PRO:PER	se
cellule	NOM	cellule
une	DET:ART	un
,	PUN	,
étroite	ADJ	étroit
renfermés	VER:pper	renfermer
chacun	PRO:IND	chacun
dans	PRP	dans
<SEG>
la	DET:ART	le
qu'	KON	que
Anachorètes	NOM	anachorète
afin	KON	afin
goûter	VER:infi	goûter
solitude	NOM	solitude
de	PRP	de
<EOS>	<EOS>	<EOS>
mieux	ADV	mieux
.	SENT	.
<SEG>
prenant	VER:ppre	prendre
dans	PRP	dans
cénobites	NOM	cénobite
ne	ADV	ne
l'	DET:ART	le
de	PRP	de
,	PUN	,
abstinence	NOM	abstinence
vivaient	VER:impf	vivre
et	KON	et
<SEG>
,	PUN	,
après	PRP	après
du	PRP:det	du
mangeant	VER:ppre	manger
nourriture	NOM	nourriture
pour	PRP	pour
qu'	KON	que
soleil	NOM	soleil
coucher	NOM	coucher
le	DET:ART	le
<SEG>
et	KON	et
repas	NOM	repas
pain	NOM	pain
peu	ADV	peu
un	DET:ART	un
tout	PRO:IND	tout
de	PRP	de
avec	PRP	avec
sel	NOM	sel
leur	DET:POS	leur
<SEG>
hysope	NOM	hysope
.	SENT	.
enfonçant	VER:ppre	enfoncer
Quelques-uns	PRO:IND	quelques-uns
s'	PRO:PER	se
d'	PRP	de
,	PUN	,
dans	PRP	dans
les	DET:ART	le
<EOS>	<EOS>	<EOS>
<SEG>
,	PUN	,
d'	PRP	de
caverne	NOM	caverne
une	DET:ART	un
sables	NOM	sable
leur	DET:POS	leur
ou	KON	ou
d'	PRP	de
faisaient	VER:impf	faire
asile	NOM	asile
<SEG>
menaient	VER:impf	mener
plus	ADV	plus
une	DET:ART	un
vie	NOM	vie
tombeau	NOM	tombeau
encore	ADV	encore
singulière	ADJ	singulier
.	SENT	.
un	DET:ART	un
et	KON	et
<SEG>
continence	NOM	continence
cilice	NOM	cilice
<EOS>	<EOS>	<EOS>
Tous	PRO:IND	tout
portaient	VER:impf	porter
la	DET:ART	le
et	KON	et
gardaient	VER:impf	garder
,	PUN	,
le	DET:ART	le
<SEG>
la	DET:ART	le
la	DET:ART	le
après	ADV	après
,	PUN	,
cuculle	NOM	cuculle
sur	PRP	sur
dormaient	VER:impf	dormir
de	PRP	de
terre	NOM	terre
nue	VER:pres	nuer
<SEG>
psaumes	NOM	psaume
veilles	NOM	veille
,	PUN	,
et	KON	et
longues	ADJ	longue
,	PUN	,
des	PRP:det	du
,	PUN	,
priaient	VER:impf	prier
chantaient	VER:impf	chanter
<SEG>
pour	PRP	pour
accomplissaient	VER:impf	accomplir
de	PRP	de
chefs-d'œuvre	NOM	chefs-d'œuvre
,	PUN	,
jour	NOM	jour
tout	PRO:IND	tout
dire	NOM	dire
chaque	PRO:IND	chaque
les	DET:ART	le
<SEG>
du	PRP:det	du
,	PUN	,
<EOS>	<EOS>	<EOS>
En	PRP	en
péché	NOM	péché
la	DET:ART	le
considération	NOM	considération
pénitence	NOM	pénitence
originel	ADJ	originel
.	SENT	.
<SEG>
plaisirs	NOM	plaisir
à	PRP	à
corps	NOM	corps
leur	DET:POS	leur
ils	PRO:PER	il
,	PUN	,
seulement	ADV	seulement
non	ADV	non
refusaient	VER:impf	refuser
les	DET:ART	le
<SEG>
mêmes	ADJ	même
contentements	NOM	contentement
