cherchait	VER:impf	chercher
changer	VER:infi	changer
vers	PRP	vers
,	PUN	,
de	PRP	de
moins	ADV	moins
une	DET:ART	un
leurs	DET:POS	leur
des	PRP:det	du
des	PRP:det	du
.	SENT	.
,	PUN	,
régions	NOM	région
qui	PRO:REL	qui
voyage	VER:pres	voyager
que	KON	que
,	PUN	,
aventures	NOM	aventure
convention	NOM	convention
eux	PRO:PER	eux
partit	VER:simp	partir
voir	VER:infi	voir
Ces	PRO:DEM	ce
,	PUN	,
les	DET:ART	le
arçons	NOM	arçon
meilleures	ADJ	meilleur
,	PUN	,
vivement	ADV	vivement
dans	PRP	dans
Amérique	NAM	amérique
tout	ADV	tout
aventureuses	ADJ	aventureux
il	PRO:PER	il
sont	VER:pres	être
de	PRP	de
<EOS>	<EOS>	<EOS>
a	VER:pres	avoir
leurs	DET:POS	leur
.	SENT	.
les	DET:ART	le
il	PRO:PER	il
,	PUN	,
Aimard	NAM	aimard
.	SENT	.
Arkansas	NAM	arkansas
de	PRP	de
de	PRP	de
et	KON	et
qu'	PRO:REL	que
pas	ADV	pas
à	PRP	à
plume	NOM	plume
partagé	VER:pper	partager
grand	ADJ	grand
retrouver	VER:infi	retrouver
Paris	NAM	paris
l'	DET:ART	le
prairies	NOM	prairie
?	SENT	?
dit	VER:pres	dire
parlent	VER:pres	parler
courage	NOM	courage
lion	NOM	lion
ce	PRO:DEM	ce
ne	ADV	ne
conditions	NOM	condition
a	VER:pres	avoir
a	VER:pres	avoir
éloignées	VER:pper	éloigner
.	SENT	.
effet	NOM	effet
de	PRP	de
périls	NOM	péril
,	PUN	,
Marseille	NAM	marseille
n'	ADV	ne
cœur	NOM	cœur
avec	PRP	avec
Pampas	NOM	pampa
titre	NOM	titre
est	VER:pres	être
a	VER:pres	avoir
sensations	NOM	sensation
,	PUN	,
pas	ADV	pas
pour	PRP	pour
travail	NOM	travail
que	KON	que
,	PUN	,
l'	DET:ART	le
,	PUN	,
renouveler	VER:infi	renouveler
la	DET:ART	le
et	KON	et
est	VER:pres	être
époque	NOM	époque
,	PUN	,
a	VER:pres	avoir
il	PRO:PER	il
quelques-unes	PRO:IND	quelques-uns
les	DET:ART	le
surtout	ADV	surtout
à	PRP	à
<EOS>	<EOS>	<EOS>
rendre	VER:infi	rendre
civilisé	VER:pper	civiliser
les	DET:ART	le
voulu	VER:pper	vouloir
vie	NOM	vie
à	PRP	à
,	PUN	,
liberté	NOM	liberté
que	KON	que
n'	ADV	ne
;	PUN	;
auréole	NOM	auréole
mystérieuse	ADJ	mystérieux
ni	KON	ni
de	PRP	de
ne	ADV	ne
;	PUN	;
,	PUN	,
celle	PRO:DEM	celui
vers	PRP	vers
son	DET:POS	son
<EOS>	<EOS>	<EOS>
à	PRP	à
pleine	ADJ	plein
à	PRP	à
a	VER:pres	avoir
défauts	NOM	défaut
et	KON	et
entrepris	VER:pper	entreprendre
on	PRO:PER	on
fait	VER:pper	faire
vous	PRO:PER	vous
contrées	NOM	contrée
Cette	PRO:DEM	ce
certaine	ADJ	certain
du	PRP:det	du
fer	NOM	fer
comme	ADV	comme
Nouveau-Monde	NAM	nouveau-monde
,	PUN	,
à	PRP	à
saine	ADJ	sain
jours	NOM	jour
apprendre	VER:infi	apprendre
s'	PRO:PER	se
Il	PRO:PER	il
va	VER:pres	aller
s'	PRO:PER	se
et	KON	et
inconnues	ADJ	inconnu
convaincu	VER:pper	convaincre
au	PRP:det	au
imposée	VER:pper	imposer
pour	PRP	pour
de	PRP	de
qui	PRO:REL	qui
toute	PRO:IND	tout
se	PRO:PER	se
peu	ADV	peu
Il	PRO:PER	il
à	PRP	à
c'	PRO:DEM	ce
séparent	VER:pres	séparer
vous	PRO:PER	vous
l'	DET:ART	le
d'	PRP	de
puissant	ADJ	puissant
dose	NOM	dose
et	KON	et
de	PRP	de
ne	ADV	ne
supprimés	VER:pper	supprimer
croire	VER:infi	croire
contrées	NOM	contrée
Ne	ADV	ne
.	SENT	.
et	KON	et
un	DET:ART	un
le	DET:ART	le
grâce	NOM	grâce
existence	NOM	existence
qui	PRO:REL	qui
,	PUN	,
livre	NOM	livre
tels	PRO:DEM	tel
M	VER:subi	m
;	PUN	;
commencer	VER:infi	commencer
son	DET:POS	son
emporter	VER:infi	emporter
,	PUN	,
d'	PRP	de
tant	ADV	tant
connus	ADJ	connu
et	KON	et
pouvant	VER:ppre	pouvoir
,	PUN	,
homme	NOM	homme
et	KON	et
c'	PRO:DEM	ce
de	PRP	de
vers	PRP	vers
esprit	NOM	esprit
plus	ADV	plus
selle	NOM	selle
auteur	NOM	auteur
n'	ADV	ne
qui	PRO:REL	qui
et	KON	et
était	VER:impf	être
délibéré	VER:pper	délibérer
,	PUN	,
était	VER:impf	être
lasso	NOM	lasso
se	PRO:PER	se
et	KON	et
soucie	VER:pres	soucier
la	DET:ART	le
risquer	VER:infi	risquer
,	PUN	,
<EOS>	<EOS>	<EOS>
<EOS>	<EOS>	<EOS>
livre	NOM	livre
où	PRO:REL	où
frayant	VER:ppre	frayer|frayer
Dieu	NOM	dieu
retracer	VER:infi	retracer
ou	KON	ou
arrive	VER:pres	arriver
<EOS>	<EOS>	<EOS>
les	DET:ART	le
ceux	PRO:DEM	celui
Dans	PRP	dans
de	PRP	de
est	VER:pres	être
à	PRP	à
faire	VER:infi	faire
un	DET:ART	un
.	SENT	.
inquiétude	NOM	inquiétude
a	VER:pres	avoir
du	PRP:det	du
,	PUN	,
Les	DET:ART	le
vierges	ADJ	vierge
,	PUN	,
<EOS>	<EOS>	<EOS>
en	PRP	en
plus	ADV	plus
le	DET:ART	le
M	VER:pper	m
.	SENT	.
qui	PRO:REL	qui
les	DET:ART	le
Préface	NOM	préface
!	SENT	!
pris	VER:pper	prendre
chemin	NOM	chemin
et	KON	et
manger	VER:infi	manger
maître	NOM	maître
ses	DET:POS	son
l'	PRO:PER	la|le
devenu	VER:pper	devenir
était	VER:impf	être
tribus	NOM	tribu
loin	ADV	loin
,	PUN	,
heureux	ADJ	heureux
loi	NOM	loi
la	DET:ART	le
à	PRP	à
que	KON	que
,	PUN	,
,	PUN	,
il	PRO:PER	il
<EOS>	<EOS>	<EOS>
affection	NOM	affection
,	PUN	,
vie	NOM	vie
qu'	PRO:REL	que
penser	VER:infi	penser
escarpées	ADJ	escarpé
doué	VER:pper	douer
époque	NOM	époque
le	DET:ART	le
le	DET:ART	le
l'	PRO:PER	la|le
.	SENT	.
.	SENT	.
en	PRP	en
Seulement	ADV	seulement
un	DET:ART	un
cimes	NOM	cime
conduite	NOM	conduite
homme	NOM	homme
forêts	NOM	forêt
sur	PRP	sur
que	PRO:REL	que
nous	PRO:PER	nous
que	KON	que
élança	VER:simp	élancer
n'	ADV	ne
posa	VER:simp	poser
les	DET:ART	le
nomade	NOM	nomade
chasses	NOM	chasse
l'	DET:ART	le
il	PRO:PER	il
toute	PRO:IND	tout
au	PRP:det	au
air	NOM	air
de	PRP	de
botte	NOM	botte
vie	NOM	vie
,	PUN	,
ne	ADV	ne
contemporain	ADJ	contemporain
est	VER:pres	être
.	SENT	.
point	NOM	point
de	PRP	de
le	DET:ART	le
de	PRP	de
bois	NOM	bois
fiévreuse	ADJ	fiévreux
fois	NOM	fois
vapeur	NOM	vapeur
<EOS>	<EOS>	<EOS>
besoin	NOM	besoin
poète	NOM	poète
entourés	VER:pper	entourer
;	PUN	;
lui	PRO:PER	lui
a	VER:pres	avoir
élance	VER:pres	élancer
ceinture	NOM	ceinture
<EOS>	<EOS>	<EOS>
ses	DET:POS	son
il	PRO:PER	il
au	PRP:det	au
indicible	ADJ	indicible
était	VER:impf	être
est	VER:pres	être
acteurs	NOM	acteur
ils	PRO:PER	il
aussi	ADV	aussi
le	DET:ART	le
il	PRO:PER	il
était	VER:impf	être
dans	PRP	dans
vie	NOM	vie
aspect	NOM	aspect
<EOS>	<EOS>	<EOS>
Chef	NAM	chef
qu'	KON	que
partant	VER:ppre	partir
existent	VER:pres	exister
était	VER:impf	être
perdu	VER:pper	perdre
civilisation	NOM	civilisation
fatigue	NOM	fatigue
suite	NOM	suite
incommensurables	ADJ	incommensurable
vaillance	NOM	vaillance
Vingt	NUM	vingt
mettait	VER:impf	mettre
M	NOM	m
forts	ADJ	fort
,	PUN	,
sentiment	NOM	sentiment
,	PUN	,
élancent	VER:pres	élancer
à	PRP	à
de	PRP	de
les	DET:ART	le
excitée	VER:pper	exciter
travers	NOM	travers
et	KON	et
.	SENT	.
monde	NOM	monde
.	SENT	.
forêts	NOM	forêt
avant	NOM	avant
.	SENT	.
qu'	KON	que
souvenirs	NOM	souvenir
nuages	NOM	nuage
y	PRO:PER	y
a	VER:pres	avoir
dans	PRP	dans
mieux	ADV	mieux
,	PUN	,
à	PRP	à
M	VER:pper	m
dont	PRO:REL	dont
sa	DET:POS	son
esquissé	VER:pper	esquisser
qu'	KON	que
,	PUN	,
revenir	VER:infi	revenir
la	DET:ART	le
chemins	NOM	chemin
plus	ADV	plus
rude	ADJ	rude
livres	NOM	livre
faisait	VER:impf	faire
Valentin	NAM	valentin
monde	NOM	monde
gaiement	ADV	gaiement
d'	PRP	de
d'	PRP	de
un	DET:ART	un
leur	DET:POS	leur
à	PRP	à
entier	ADJ	entier
Quand	KON	quand
Aujourd'hui	ADV	aujourd'hui
de	PRP	de
à	PRP	à
se	PRO:PER	se
son	DET:POS	son
Libre	ADJ	libre
«	PUN:cit	«
fusil	NOM	fusil
,	PUN	,
mais	KON	mais
et	KON	et
,	PUN	,
errantes	ADJ	errant
,	PUN	,
vierges	ADJ	vierge
passé	NOM	passé
si	ADV	si
petits	ADJ	petit
travers	NOM	travers
Aussi	ADV	aussi
tuent	VER:pres	tuer
arrivée	NOM	arrivé|arrivée
homme	NOM	homme
croit	VER:pres	croire
enfance	NOM	enfance
a	VER:pres	avoir
lui	PRO:PER	lui
se	PRO:PER	se
habitue	VER:pres	habituer
vapeur	NOM	vapeur
.	SENT	.
n'	ADV	ne
enfin	ADV	enfin
.	SENT	.
ou	KON	ou
d'	PRP	de
est	VER:pres	être
grands	ADJ	grand
du	PRP:det	du
ne	ADV	ne
,	PUN	,
ne	ADV	ne
à	PRP	à
voulait	VER:impf	vouloir
se	PRO:PER	se
,	PUN	,
si	ADV	si
;	PUN	;
devenu	VER:pper	devenir
de	PRP	de
des	PRP:det	du
de	PRP	de
ce	PRO:DEM	ce
si	ADV	si
sa	DET:POS	son
Il	PRO:PER	il
anime	VER:pres	animer
sur	PRP	sur
vus	VER:pper	voir
à	PRP	à
indomptable	ADJ	indomptable
Aimard	NAM	aimard
par	PRP	par
sont	VER:pres	être
étaient	VER:impf	être
l'	DET:ART	le
les	DET:ART	le
l'	DET:ART	le
<EOS>	<EOS>	<EOS>
rendre	VER:infi	rendre
livre	NOM	livre
,	PUN	,
on	PRO:PER	on
plus	ADV	plus
jeune	ADJ	jeune
même	ADV	même
indomptées	ADJ	indompté
un	DET:ART	un
d'	PRP	de
Rentré	VER:pper	rentrer
du	PRP:det	du
civilisé	VER:pper	civiliser
demeurent	VER:pres	demeurer
Il	NAM	il
une	DET:ART	un
sur	PRP	sur
<EOS>	<EOS>	<EOS>
,	PUN	,
ses	DET:POS	son
près	ADV	près
.	SENT	.
s'	PRO:PER	se
raconte	VER:pres	raconter
de	PRP	de
des	PRP:det	du
savoir	NOM	savoir
ces	PRO:DEM	ce
,	PUN	,
et	KON	et
au	PRP:det	au
riches	ADJ	riche
lettres	NOM	lettre
les	DET:ART	le
dans	PRP	dans
pas	ADV	pas
.	SENT	.
de	PRP	de
de	PRP	de
s'	PRO:PER	se
écoulées	VER:pper	écouler
pas	ADV	pas
l'	PRO:PER	la|le
cheval	NOM	cheval
jouissances	NOM	jouissance
éprouve	VER:pres	éprouver
navire	NOM	navire
quarante	NUM	quarante
pour	PRP	pour
ne	ADV	ne
;	PUN	;
un	DET:ART	un
sa	DET:POS	son
désert	NOM	désert
ouvrage	NOM	ouvrage
plus	ADV	plus
souffrir	VER:infi	souffrir
<EOS>	<EOS>	<EOS>
<EOS>	<EOS>	<EOS>
couteau	NOM	couteau
»	PUN:cit	»
pas	ADV	pas
aucun	PRO:IND	aucun
,	PUN	,
gravissant	VER:ppre	gravir
,	PUN	,
de	PRP	de
qu'	PRO:REL	que
ne	ADV	ne
à	PRP	à
un	DET:ART	un
et	KON	et
comme	KON	comme
bonheur	NOM	bonheur
dans	PRP	dans
à	PRP	à
fait	VER:pres	faire
inspire	VER:pres	inspirer
Ivoi	NAM	ivoi
.	SENT	.
se	PRO:PER	se
dans	PRP	dans
meilleur	ADJ	meilleur
des	PRP:det	du
les	PRO:PER	la|le
avec	PRP	avec
la	DET:ART	le
distances	NOM	distance
courage	NOM	courage
ses	DET:POS	son
rétrospectif	ADJ	rétrospectif
ses	DET:POS	son
mener	VER:infi	mener
ans	NOM	an
pays	NOM	pays
un	DET:ART	un
les	DET:ART	le
ses	DET:POS	son
des	PRP:det	du
Qui	PRO:REL	qui
la	DET:ART	le
il	PRO:PER	il
,	PUN	,
abnégation	NOM	abnégation
pas	ADV	pas
Indiens	NOM	indien
on	PRO:PER	on
laissé	VER:pper	laisser
sorte	NOM	sorte
devant	NOM	devant
vantée	VER:pper	vanter
en	PRP	en
tout	PRO:IND	tout
regarder	VER:infi	regarder
prairies	NOM	prairie
ses	DET:POS	son
à	PRP	à
de	PRP	de
dans	PRP	dans
étroite	ADJ	étroit
et	KON	et
profondeurs	NOM	profondeur
lien	NOM	lien
,	PUN	,
travers	NOM	travers
,	PUN	,
dans	PRP	dans
,	PUN	,
découverte	NOM	découverte
d'	PRP	de
histoire	NOM	histoire
nourriture	NOM	nourriture
voile	NOM	voile
de	PRP	de
les	PRO:PER	la|le
dévouement	NOM	dévouement
Ses	DET:POS	son
font	VER:pres	faire
tour	NOM	tour
monté	VER:pper	monter
.	SENT	.
place	NOM	place
ou	KON	ou
enfants	NOM	enfant
chemins	NOM	chemin
ou	KON	ou
des	PRP:det	du
Aimard	NAM	aimard
du	PRP:det	du
désert	NOM	désert
plaisir	NOM	plaisir
franchissant	VER:ppre	franchir
le	DET:ART	le
<EOS>	<EOS>	<EOS>
il	PRO:PER	il
il	PRO:PER	il
En	PRP	en
ainsi	ADV	ainsi
aux	PRP:det	au
,	PUN	,
pays	NOM	pays
.	SENT	.
qu'	PRO:REL	que
revivre	VER:infi	revivre
que	KON	que
Guillois	NAM	guillois
,	PUN	,
lui	PRO:PER	lui
!	SENT	!
des	PRP:det	du
possibles	ADJ	possible
il	PRO:PER	il
premier	NUM	premier
,	PUN	,
.	SENT	.
celui	PRO:DEM	celui
j'	PRO:PER	je
il	PRO:PER	il
sa	DET:POS	son
où	ADV	où
s'	PRO:PER	se
idées	NOM	idée
,	PUN	,
autre	ADJ	autre
pêchant	VER:ppre	pêcher
tous	PRO:IND	tout
de	PRP	de
pour	PRP	pour
étrange	ADJ	étrange
Trappeurs	NOM	trappeur
distances	NOM	distance
une	DET:ART	un
désir	NOM	désir
à	PRP	à
on	PRO:PER	on
êtres	NOM	être|êtres
de	PRP	de
est	VER:pres	être
,	PUN	,
et	KON	et
que	KON	que
aventures	NOM	aventure
de	PRP	de
À	PRP	à
mystérieuses	ADJ	mystérieux
s'	PRO:PER	se
quel	PRO:REL	quel
par	PRP	par
propos	NOM	propos
ressusciter	VER:infi	ressusciter
seulement	ADV	seulement
et	KON	et
l'	DET:ART	le
enfant	NOM	enfant
aspirant	VER:ppre	aspirer
,	PUN	,
rendre	VER:infi	rendre
.	SENT	.
ce	PRO:DEM	ce
destination	NOM	destination
le	DET:ART	le
quinze	NUM	quinze
entrevues	VER:pper	entrevoir
le	DET:ART	le
courage	NOM	courage
besoin	NOM	besoin
<EOS>	<EOS>	<EOS>
d'	PRP	de
de	PRP	de
pauvres	ADJ	pauvre
que	KON	que
européenne	ADJ	européen
parce	KON	parce
,	PUN	,
M	VER:pper	m
ses	DET:POS	son
suprêmes	ADJ	suprême
libre	ADJ	libre
<EOS>	<EOS>	<EOS>
trente	NUM	trente
avec	PRP	avec
transformé	VER:pper	transformer
à	PRP	à
la	DET:ART	le
applaudis	VER:pres	applaudir
les	DET:ART	le
terre	NOM	terre
être	VER:infi	être
caprice	NOM	caprice
à	PRP	à
voyages	NOM	voyage
son	DET:POS	son
à	PRP	à
encore	ADV	encore
de	PRP	de
flot	NOM	flot
se	PRO:PER	se
part	NOM	part
d'	PRP	de
la	DET:ART	le
,	PUN	,
,	PUN	,
,	PUN	,
,	PUN	,
laissant	VER:ppre	laisser
poussaient	VER:impf	pousser
se	PRO:PER	se
aventurier	NOM	aventurier
ses	DET:POS	son
pistolets	NOM	pistolet
est	VER:pres	être
pour	PRP	pour
aujourd'hui	ADV	aujourd'hui
La	DET:ART	le
qualités	NOM	qualité
autre	ADJ	autre
d'	PRP	de
ne	ADV	ne
peu	ADV	peu
affrontés	VER:pper	affronter
,	PUN	,
plus	ADV	plus
pour	PRP	pour
chassant	VER:ppre	chasser
fumée	NOM	fumée
curiosité	NOM	curiosité
sauvages	ADJ	sauvage
il	PRO:PER	il
mission	NOM	mission
à	PRP	à
audace	NOM	audace
et	KON	et
,	PUN	,
l'	DET:ART	le
même	ADV	même
Aucas	NAM	aucas
encore	ADV	encore
se	PRO:PER	se
sur	PRP	sur
,	PUN	,
émouvantes	ADJ	émouvant
il	PRO:PER	il
,	PUN	,
faite	VER:pper	faire
grand	ADJ	grand
Cordillères	NAM	cordillères
l'	DET:ART	le
si	ADV	si
fallait	VER:impf	falloir
qui	PRO:REL	qui
combattant	VER:ppre	combattre
les	DET:ART	le
derrière	PRP	derrière
vie	NOM	vie
