	Stolz_TresorNanette_0	Stolz_TresorNanette_1	Stolz_TresorNanette_2	Stolz_TresorNanette_3	Stolz_TresorNanette_4	Stolz_TresorNanette_5	Stolz_TresorNanette_6	Stolz_TresorNanette_7	Stolz_TresorNanette_8	Stolz_TresorNanette_9	Stolz_TresorNanette_10	Stolz_TresorNanette_11	Stolz_TresorNanette_sum
,_PUN_,	376.0	403.0	375.0	392.0	380.0	390.0	394.0	425.0	383.0	412.0	367.0	319.0	4616.0
<EOS>_<EOS>_<EOS>	160.0	195.0	152.0	195.0	157.0	163.0	177.0	181.0	176.0	143.0	167.0	149.0	2015.0
de_PRP_de	171.0	113.0	161.0	141.0	169.0	166.0	174.0	157.0	139.0	180.0	146.0	105.0	1822.0
._SENT_.	116.0	112.0	110.0	129.0	110.0	105.0	111.0	131.0	129.0	103.0	117.0	100.0	1373.0
et_KON_et	109.0	92.0	95.0	87.0	99.0	98.0	106.0	100.0	104.0	103.0	107.0	84.0	1184.0
la_DET:ART_le	105.0	98.0	76.0	100.0	77.0	103.0	96.0	81.0	111.0	112.0	84.0	74.0	1117.0
à_PRP_à	78.0	71.0	66.0	64.0	67.0	85.0	77.0	75.0	74.0	88.0	77.0	56.0	878.0
elle_PRO:PER_elle	64.0	55.0	60.0	89.0	60.0	58.0	49.0	49.0	68.0	82.0	42.0	51.0	727.0
le_DET:ART_le	41.0	48.0	49.0	53.0	52.0	53.0	64.0	47.0	46.0	34.0	53.0	41.0	581.0
est_VER:pres_être	32.0	45.0	44.0	41.0	30.0	61.0	44.0	52.0	49.0	45.0	63.0	45.0	551.0
;_PUN_;	46.0	45.0	64.0	32.0	39.0	55.0	48.0	54.0	34.0	50.0	49.0	30.0	546.0
que_KON_que	34.0	50.0	55.0	58.0	38.0	34.0	49.0	59.0	42.0	32.0	48.0	26.0	525.0
les_DET:ART_le	42.0	44.0	47.0	39.0	48.0	51.0	52.0	37.0	44.0	40.0	37.0	23.0	504.0
qui_PRO:REL_qui	37.0	26.0	46.0	38.0	44.0	33.0	51.0	38.0	46.0	34.0	46.0	36.0	475.0
je_PRO:PER_je	38.0	39.0	64.0	32.0	56.0	15.0	9.0	54.0	42.0	33.0	50.0	34.0	466.0
ne_ADV_ne	39.0	39.0	44.0	48.0	37.0	35.0	42.0	33.0	45.0	37.0	37.0	24.0	460.0
l'_DET:ART_le	41.0	32.0	41.0	35.0	36.0	48.0	28.0	40.0	43.0	38.0	47.0	29.0	458.0
un_DET:ART_un	46.0	46.0	40.0	40.0	26.0	44.0	36.0	32.0	34.0	41.0	34.0	34.0	453.0
une_DET:ART_un	49.0	29.0	28.0	38.0	32.0	41.0	34.0	45.0	45.0	39.0	41.0	17.0	438.0
d'_PRP_de	35.0	22.0	31.0	38.0	36.0	34.0	41.0	31.0	30.0	52.0	39.0	16.0	405.0
!_SENT_!	30.0	57.0	25.0	31.0	35.0	37.0	41.0	29.0	30.0	29.0	26.0	29.0	399.0
pas_ADV_pas	32.0	33.0	39.0	44.0	24.0	34.0	31.0	35.0	39.0	25.0	36.0	25.0	397.0
--_PUN_--	26.0	38.0	36.0	62.0	26.0	33.0	38.0	31.0	24.0	15.0	13.0	30.0	372.0
on_PRO:PER_on	18.0	41.0	24.0	26.0	19.0	39.0	43.0	21.0	36.0	23.0	35.0	33.0	358.0
il_PRO:PER_il	35.0	38.0	37.0	29.0	26.0	39.0	35.0	28.0	20.0	15.0	31.0	24.0	357.0
se_PRO:PER_se	41.0	24.0	14.0	24.0	33.0	37.0	36.0	22.0	27.0	36.0	32.0	29.0	355.0
ce_PRO:DEM_ce	28.0	26.0	40.0	23.0	33.0	34.0	27.0	27.0	26.0	28.0	40.0	22.0	354.0
vous_PRO:PER_vous	22.0	32.0	27.0	22.0	29.0	61.0	14.0	17.0	60.0	12.0	25.0	23.0	344.0
en_PRP_en	30.0	33.0	33.0	25.0	34.0	28.0	21.0	26.0	32.0	24.0	27.0	25.0	338.0
sa_DET:POS_son	36.0	22.0	30.0	28.0	19.0	32.0	25.0	32.0	14.0	39.0	29.0	19.0	325.0
dans_PRP_dans	23.0	35.0	33.0	16.0	32.0	28.0	31.0	21.0	26.0	27.0	30.0	20.0	322.0
était_VER:impf_être	49.0	33.0	41.0	33.0	21.0	18.0	27.0	26.0	18.0	27.0	11.0	16.0	320.0
pour_PRP_pour	27.0	34.0	35.0	36.0	30.0	24.0	19.0	27.0	26.0	27.0	18.0	15.0	318.0
n'_ADV_ne	30.0	28.0	33.0	33.0	21.0	23.0	28.0	25.0	22.0	23.0	28.0	17.0	311.0
bien_ADV_bien	29.0	28.0	38.0	29.0	14.0	21.0	19.0	34.0	26.0	27.0	19.0	19.0	303.0
c'_PRO:DEM_ce	26.0	37.0	32.0	29.0	14.0	22.0	26.0	26.0	22.0	16.0	20.0	17.0	287.0
plus_ADV_plus	25.0	19.0	19.0	19.0	20.0	21.0	33.0	31.0	22.0	26.0	35.0	14.0	284.0
des_PRP:det_du	24.0	25.0	28.0	17.0	38.0	23.0	29.0	28.0	24.0	12.0	24.0	11.0	283.0
son_DET:POS_son	27.0	15.0	30.0	27.0	28.0	21.0	28.0	7.0	13.0	38.0	13.0	18.0	265.0
du_PRP:det_du	24.0	25.0	23.0	25.0	18.0	28.0	18.0	21.0	24.0	22.0	18.0	18.0	264.0
s'_PRO:PER_se	17.0	23.0	9.0	20.0	18.0	32.0	31.0	19.0	27.0	32.0	19.0	16.0	263.0
lui_PRO:PER_lui	21.0	23.0	21.0	36.0	20.0	23.0	17.0	19.0	15.0	18.0	24.0	19.0	256.0
:_PUN_:	21.0	26.0	16.0	16.0	22.0	22.0	22.0	14.0	22.0	25.0	26.0	18.0	250.0
?_SENT_?	15.0	28.0	17.0	35.0	14.0	20.0	26.0	19.0	19.0	14.0	24.0	19.0	250.0
avait_VER:impf_avoir	37.0	24.0	28.0	24.0	28.0	13.0	18.0	16.0	13.0	13.0	14.0	14.0	242.0
a_VER:pres_avoir	10.0	17.0	20.0	29.0	25.0	10.0	17.0	24.0	16.0	18.0	34.0	22.0	242.0
au_PRP:det_au	12.0	16.0	15.0	19.0	17.0	26.0	22.0	19.0	21.0	21.0	17.0	14.0	219.0
qu'_KON_que	26.0	18.0	12.0	19.0	14.0	14.0	22.0	21.0	25.0	18.0	12.0	15.0	216.0
qu'_PRO:REL_que	11.0	23.0	14.0	28.0	23.0	21.0	16.0	14.0	20.0	16.0	19.0	9.0	214.0
mais_KON_mais	17.0	23.0	23.0	24.0	12.0	16.0	18.0	15.0	14.0	18.0	17.0	11.0	208.0
y_PRO:PER_y	20.0	17.0	17.0	14.0	21.0	21.0	14.0	11.0	22.0	13.0	18.0	16.0	204.0
ses_DET:POS_son	17.0	6.0	19.0	6.0	22.0	27.0	31.0	8.0	15.0	22.0	20.0	10.0	203.0
