I	NUM	i
eut	VER:simp	avoir
--	PUN	--
Quand	NAM	quand
PREMIÈRE	NUM	premier
caissière	NOM	caissier
PARTIE	NOM	partie
lui	PRO:PER	lui
--	PUN	--
la	DET:ART	le
<SEG>
la	DET:ART	le
de	PRP	de
sa	DET:POS	son
monnaie	NOM	monnaie
pièce	NOM	pièce
sous	PRP	sous
rendu	VER:pper	rendre
,	PUN	,
cent	NUM	cent
de	PRP	de
<SEG>
du	PRP:det	du
sortit	VER:simp	sortir
portait	VER:impf	porter
.	SENT	.
il	PRO:PER	il
Duroy	NAM	duroy
Georges	NAM	georges
<EOS>	<EOS>	<EOS>
restaurant	NOM	restaurant
Comme	KON	comme
<SEG>
sous-officier	NOM	sous-officier
nature	NOM	nature
beau	ADJ	beau
,	PUN	,
pose	NOM	pose
par	PRP	par
d'	PRP	de
et	KON	et
ancien	ADJ	ancien
par	PRP	par
<SEG>
moustache	NOM	moustache
un	DET:ART	un
taille	NOM	taille
frisa	VER:simp	friser
sa	DET:POS	son
,	PUN	,
cambra	VER:simp	cambrer
il	PRO:PER	il
d'	PRP	de
sa	DET:POS	son
<SEG>
jeta	VER:simp	jeter
et	KON	et
sur	PRP	sur
dîneurs	NOM	dîneur
militaire	ADJ	militaire
familier	ADJ	familier
geste	NOM	geste
,	PUN	,
les	DET:ART	le
et	KON	et
<SEG>
un	NUM	un
attardés	VER:pper	attarder
rapide	ADJ	rapide
,	PUN	,
un	DET:ART	un
et	KON	et
regard	NOM	regard
circulaire	ADJ	circulaire
de	PRP	de
ces	PRO:DEM	ce
<SEG>
de	PRP	de
comme	ADV	comme
des	PRP:det	du
,	PUN	,
regards	NOM	regard
qui	PRO:REL	qui
joli	ADJ	joli
garçon	NOM	garçon
s'	PRO:PER	se
étendent	VER:pres	étendre
<SEG>
Les	DET:ART	le
levé	VER:pper	lever
la	DET:ART	le
<EOS>	<EOS>	<EOS>
épervier	NOM	épervier
femmes	NOM	femme
avaient	VER:impf	avoir
d'	PRP	de
coups	NOM	coup
.	SENT	.
<SEG>
une	DET:ART	un
trois	NUM	trois
tête	NOM	tête
maîtresse	NOM	maîtresse
petites	NOM	petit
ouvrières	ADJ	ouvrier
vers	PRP	vers
,	PUN	,
,	PUN	,
lui	PRO:PER	lui
<SEG>
entre	PRP	entre
,	PUN	,
musique	NOM	musique
peignée	VER:pper	peigner
deux	NUM	deux
âges	NOM	âge
de	PRP	de
mal	ADV	mal
,	PUN	,
négligée	VER:pper	négliger
<SEG>
chapeau	NOM	chapeau
toujours	ADV	toujours
,	PUN	,
poussiéreux	ADJ	poussiéreux
vêtue	VER:pper	vêtir
toujours	ADV	toujours
un	DET:ART	un
coiffée	VER:pper	coiffer
et	KON	et
d'	PRP	de
<SEG>
bourgeoises	NOM	bourgeois
,	PUN	,
une	DET:ART	un
de	PRP	de
d'	PRP	de
robe	NOM	robe
travers	NOM	travers
avec	PRP	avec
deux	NUM	deux
et	KON	et
<SEG>
prix	NOM	prix
à	PRP	à
fixe	ADJ	fixe
de	PRP	de
cette	PRO:DEM	ce
maris	NOM	mari
,	PUN	,
gargote	NOM	gargote
leurs	DET:POS	leur
habituées	VER:pper	habituer
<SEG>
le	DET:ART	le
trottoir	NOM	trottoir
<EOS>	<EOS>	<EOS>
Lorsqu'	KON	lorsque
,	PUN	,
il	PRO:PER	il
fut	VER:simp	être
.	SENT	.
sur	PRP	sur
il	PRO:PER	il
<SEG>
immobile	ADJ	immobile
il	PRO:PER	il
qu'	PRO:REL	que
demandant	VER:ppre	demander
,	PUN	,
demeura	VER:simp	demeurer
instant	NOM	instant
se	PRO:PER	se
un	DET:ART	un
ce	PRO:DEM	ce
<SEG>
était	VER:impf	être
.	SENT	.
au	PRP:det	au
allait	VER:impf	aller
juin	NOM	juin
<EOS>	<EOS>	<EOS>
,	PUN	,
faire	VER:infi	faire
On	PRO:PER	on
28	NUM	@card@
<SEG>
francs	NOM	franc
quarante	NUM	quarante
restait	VER:impf	rester
juste	ADJ	juste
et	KON	et
poche	NOM	poche
il	PRO:PER	il
en	PRP	en
trois	NUM	trois
lui	PRO:PER	lui
<SEG>
mois	NOM	moi|mois
dîners	NOM	dîner
finir	VER:infi	finir
.	SENT	.
deux	NUM	deux
pour	PRP	pour
<EOS>	<EOS>	<EOS>
représentait	VER:impf	représenter
Cela	PRO:DEM	cela
le	DET:ART	le
<SEG>
,	PUN	,
,	PUN	,
déjeuners	NOM	déjeuner
sans	PRP	sans
dîners	NOM	dîner
ou	KON	ou
au	PRP:det	au
deux	NUM	deux
déjeuners	NOM	déjeuner
sans	PRP	sans
<SEG>
.	SENT	.
du	PRP:det	du
matin	NOM	matin
<EOS>	<EOS>	<EOS>
choix	NOM	choix
les	DET:ART	le
Il	PRO:PER	il
que	KON	que
réfléchit	VER:pres	réfléchir
repas	NOM	repas
<SEG>
que	PRO:REL	que
,	PUN	,
trente	NOM	trente
sous	PRP	sous
de	PRP	de
au	PRP:det	au
étant	VER:ppre	être
de	PRP	de
lieu	NOM	lieu
vingt-deux	NUM	vingt-deux
<SEG>
soir	NOM	soir
coûtaient	VER:impf	coûter
en	PRP	en
lui	PRO:PER	lui
,	PUN	,
,	PUN	,
ceux	PRO:DEM	celui
du	PRP:det	du
resterait	VER:cond	rester
il	PRO:PER	il
<SEG>
centimes	NOM	centime
déjeuners	NOM	déjeuner
,	PUN	,
un	DET:ART	un
franc	NOM	franc
se	PRO:PER	se
vingt	NUM	vingt
des	PRP:det	du
contentant	VER:ppre	contenter
de	PRP	de
<SEG>
ce	PRO:DEM	ce
représentait	VER:impf	représenter
qui	PRO:REL	qui
au	PRP:det	au
collations	NOM	collation
boni	NOM	boni
encore	ADV	encore
,	PUN	,
deux	NUM	deux
pain	NOM	pain
<SEG>
saucisson	NOM	saucisson
et	KON	et
boulevard	NOM	boulevard
bocks	NOM	bock
,	PUN	,
le	DET:ART	le
plus	ADV	plus
sur	PRP	sur
deux	NUM	deux
au	PRP:det	au
<SEG>
C'	PRO:DEM	ce
.	SENT	.
là	ADV	là
était	VER:impf	être
dépense	NOM	dépense
sa	DET:POS	son
son	DET:POS	son
<EOS>	<EOS>	<EOS>
grande	ADJ	grand
et	KON	et
<SEG>
grand	ADJ	grand
nuits	NOM	nuit
mit	VER:simp	mettre
il	PRO:PER	il
plaisir	NOM	plaisir
des	PRP:det	du
à	PRP	à
;	PUN	;
et	KON	et
se	PRO:PER	se
<SEG>
rue	NOM	rue
Notre-Dame-de-Lorette	NAM	notre-dame-de-lorette
marchait	VER:impf	marcher
Il	PRO:PER	il
qu'	KON	que
<EOS>	<EOS>	<EOS>
la	DET:ART	le
ainsi	ADV	ainsi
descendre	VER:infi	descendre
.	SENT	.
<SEG>
où	PRO:REL	où
temps	NOM	temps
hussards	NOM	hussard
il	PRO:PER	il
,	PUN	,
au	PRP:det	au
l'	DET:ART	le
des	PRP:det	du
uniforme	NOM	uniforme
portait	VER:impf	porter
<SEG>
bombée	ADJ	bombé
,	PUN	,
peu	ADV	peu
entrouvertes	VER:pper	entrouvrir
comme	KON	comme
un	DET:ART	un
poitrine	NOM	poitrine
jambes	NOM	jambe
les	DET:ART	le
la	DET:ART	le
<SEG>
cheval	NOM	cheval
descendre	VER:infi	descendre
s'	PRO:PER	se
de	PRP	de
de	PRP	de
et	KON	et
;	PUN	;
il	PRO:PER	il
il	PRO:PER	il
venait	VER:impf	venir
<SEG>
,	PUN	,
la	DET:ART	le
heurtant	VER:ppre	heurter
de	PRP	de
brutalement	ADV	brutalement
pleine	ADJ	plein
dans	PRP	dans
rue	NOM	rue
avançait	VER:impf	avancer
monde	NOM	monde
<SEG>
ne	ADV	ne
se	PRO:PER	se
,	PUN	,
les	DET:ART	le
épaules	NOM	épaule
gens	NOM	gens
pour	PRP	pour
les	DET:ART	le
point	ADV	point
poussant	VER:ppre	pousser
<SEG>
<EOS>	<EOS>	<EOS>
déranger	VER:infi	déranger
route	NOM	route
.	SENT	.
sur	PRP	sur
de	PRP	de
légèrement	ADV	légèrement
inclinait	VER:impf	incliner
Il	PRO:PER	il
sa	DET:POS	son
<SEG>
assez	ADV	assez
oreille	NOM	oreille
,	PUN	,
forme	NOM	forme
l'	DET:ART	le
son	DET:POS	son
haute	ADJ	haut
défraîchi	VER:pper	défraîchir
chapeau	NOM	chapeau
à	PRP	à
<SEG>
le	DET:ART	le
Il	PRO:PER	il
<EOS>	<EOS>	<EOS>
battait	VER:impf	battre
son	DET:POS	son
de	PRP	de
et	KON	et
pavé	NOM	pavé
talon	NOM	talon
.	SENT	.
<SEG>
,	PUN	,
quelqu'un	PRO:IND	quelqu'un
toujours	ADV	toujours
les	DET:ART	le
passants	NOM	passant
avait	VER:impf	avoir
air	NOM	air
l'	DET:ART	le
défier	VER:infi	défier
de	PRP	de
<SEG>
ville	NOM	ville
la	DET:ART	le
,	PUN	,
chic	ADJ	chic
entière	ADJ	entier
,	PUN	,
maisons	NOM	maison
les	DET:ART	le
,	PUN	,
par	PRP	par
<SEG>
de	PRP	de
civil	NOM	civil
le	DET:ART	le
dans	PRP	dans
<EOS>	<EOS>	<EOS>
tombé	VER:pper	tomber
.	SENT	.
soldat	NOM	soldat
beau	ADJ	beau
Quoique	KON	quoique
<SEG>
gardait	VER:impf	garder
habillé	VER:pper	habiller
de	PRP	de
soixante	NUM	soixante
,	PUN	,
francs	NOM	franc
un	DET:ART	un
il	PRO:PER	il
complet	ADJ	complet
d'	PRP	de
<SEG>
élégance	NOM	élégance
réelle	ADJ	réel
tapageuse	ADJ	tapageur
un	DET:ART	un
certaine	ADJ	certain
,	PUN	,
une	DET:ART	un
peu	ADV	peu
commune	ADJ	commun
,	PUN	,
<SEG>
Grand	ADJ	grand
.	SENT	.
cependant	ADV	cependant
,	PUN	,
<EOS>	<EOS>	<EOS>
,	PUN	,
fait	VER:pper	faire
,	PUN	,
bien	ADV	bien
blond	ADJ	blond
<SEG>
roussi	VER:pper	roussir
moustache	NOM	moustache
une	DET:ART	un
,	PUN	,
d'	PRP	de
blond	ADJ	blond
vaguement	ADV	vaguement
avec	PRP	avec
un	DET:ART	un
châtain	NOM	châtain
<SEG>
lèvre	NOM	lèvre
qui	PRO:REL	qui
sa	DET:POS	son
semblait	VER:impf	sembler
sur	PRP	sur
des	PRP:det	du
,	PUN	,
mousser	VER:infi	mousser
retroussée	ADJ	retroussé
,	PUN	,
<SEG>
yeux	NOM	œil
,	PUN	,
d'	PRP	de
,	PUN	,
une	DET:ART	un
troués	VER:pper	trouer
toute	PRO:IND	tout
pupille	NOM	pupille
clairs	ADJ	clair
bleus	ADJ	bleu
<SEG>
,	PUN	,
petite	ADJ	petit
,	PUN	,
des	PRP:det	du
séparés	VER:pper	séparer
par	PRP	par
naturellement	ADV	naturellement
une	DET:ART	un
cheveux	NOM	cheveu
frisés	VER:pper	friser
<SEG>
au	PRP:det	au
raie	NOM	raie
du	PRP:det	du
il	PRO:PER	il
bien	ADV	bien
crâne	NOM	crâne
ressemblait	VER:impf	ressembler
au	PRP:det	au
milieu	NOM	milieu
,	PUN	,
<SEG>
mauvais	NOM	mauvais
<EOS>	<EOS>	<EOS>
populaires	ADJ	populaire
sujet	ADJ	sujet
des	PRP:det	du
C'	PRO:DEM	ce
était	VER:impf	être
romans	NOM	roman
.	SENT	.
une	NUM	un
<SEG>
manque	VER:pres	manquer
de	PRP	de
dans	PRP	dans
où	PRO:REL	où
soirées	NOM	soirée
été	NOM	été
d'	PRP	de
air	NOM	air
l'	DET:ART	le
ces	PRO:DEM	ce
<SEG>
ville	NOM	ville
La	DET:ART	le
<EOS>	<EOS>	<EOS>
une	DET:ART	un
étuve	NOM	étuve
,	PUN	,
chaude	ADJ	chaud
Paris	NAM	paris
.	SENT	.
comme	KON	comme
<SEG>
paraissait	VER:impf	paraître
Les	DET:ART	le
la	DET:ART	le
nuit	NOM	nuit
,	PUN	,
étouffante	ADJ	étouffant
.	SENT	.
suer	VER:infi	suer
<EOS>	<EOS>	<EOS>
dans	PRP	dans
<SEG>
leurs	DET:POS	leur
empestées	VER:pper	empester
bouches	NOM	bouche
égouts	NOM	égout
leurs	DET:POS	leur
de	PRP	de
par	PRP	par
soufflaient	VER:impf	souffler
haleines	NOM	haleine
granit	NOM	granit
<SEG>
les	DET:ART	le
jetaient	VER:impf	jeter
et	KON	et
la	DET:ART	le
à	PRP	à
souterraines	ADJ	souterrain
cuisines	NOM	cuisine
,	PUN	,
rue	NOM	rue
,	PUN	,
<SEG>
miasmes	NOM	miasme
des	PRP:det	du
,	PUN	,
par	PRP	par
infâmes	ADJ	infâme
eaux	NOM	eau
les	DET:ART	le
basses	ADJ	bas
fenêtres	NOM	fenêtre
leurs	DET:POS	leur
<SEG>
et	KON	et
Les	DET:ART	le
des	PRP:det	du
de	PRP	de
sauces	NOM	sauce
concierges	NOM	concierge
vaisselle	NOM	vaisselle
.	SENT	.
<EOS>	<EOS>	<EOS>
vieilles	ADJ	vieux
<SEG>
en	PRP	en
,	PUN	,
à	PRP	à
sur	PRP	sur
manches	NOM	manche
,	PUN	,
chemise	NOM	chemise
des	PRP:det	du
de	PRP	de
cheval	NOM	cheval
<SEG>
pipe	NOM	pipe
en	PRP	en
la	DET:ART	le
,	PUN	,
fumaient	VER:impf	fumer
chaises	NOM	chaise
des	PRP:det	du
sous	PRP	sous
paille	NOM	paille
portes	NOM	porte
<SEG>
,	PUN	,
passants	NOM	passant
un	DET:ART	un
pas	ADV	pas
allaient	VER:impf	aller
les	DET:ART	le
et	KON	et
accablé	VER:pper	accabler
d'	PRP	de
cochères	ADJ	cochère
<SEG>
main	NOM	main
le	DET:ART	le
,	PUN	,
à	PRP	à
la	DET:ART	le
nu	NOM	nu
,	PUN	,
chapeau	NOM	chapeau
le	DET:ART	le
front	NOM	front
<SEG>
Duroy	NAM	duroy
boulevard	NOM	boulevard
<EOS>	<EOS>	<EOS>
,	PUN	,
.	SENT	.
au	PRP:det	au
Quand	KON	quand
il	PRO:PER	il
parvint	VER:simp	parvenir
Georges	NAM	georges
<SEG>
encore	ADV	encore
il	PRO:PER	il
arrêta	VER:simp	arrêter
indécis	ADJ	indécis
ce	PRO:DEM	ce
,	PUN	,
qu'	PRO:REL	que
allait	VER:impf	aller
sur	PRP	sur
s'	PRO:PER	se
<SEG>
de	PRP	de
les	DET:ART	le
avait	VER:impf	avoir
gagner	VER:infi	gagner
<EOS>	<EOS>	<EOS>
maintenant	ADV	maintenant
Il	PRO:PER	il
envie	VER:pres	envier
.	SENT	.
faire	VER:infi	faire
<SEG>
de	PRP	de
l'	DET:ART	le
trouver	VER:infi	trouver
pour	KON	pour
Boulogne	NAM	boulogne
et	KON	et
Champs-Élysées	NAM	champs-élysées
bois	NOM	bois
du	PRP:det	du
avenue	NOM	avenue
<SEG>
un	DET:ART	un
d'	PRP	de
les	DET:ART	le
air	NOM	air
mais	KON	mais
sous	PRP	sous
;	PUN	;
frais	ADJ	frais
arbres	NOM	arbre
peu	ADV	peu
<SEG>
aussi	ADV	aussi
un	DET:ART	un
travaillait	VER:impf	travailler
le	PRO:PER	le
d'	PRP	de
rencontre	NOM	rencontre
,	PUN	,
désir	NOM	désir
une	DET:ART	un
celui	PRO:DEM	celui
<SEG>
<EOS>	<EOS>	<EOS>
présenterait-elle	VER:subp	présenterait-elle
.	SENT	.
amoureuse	ADJ	amoureux
n'	ADV	ne
se	PRO:PER	se
Il	PRO:PER	il
?	SENT	?
Comment	ADV	comment
<EOS>	<EOS>	<EOS>
<SEG>
trois	NUM	trois
depuis	PRP	depuis
en	PRO:PER	en
mais	KON	mais
il	PRO:PER	il
l'	PRO:PER	la|le
attendait	VER:impf	attendre
,	PUN	,
rien	ADV	rien
savait	VER:impf	savoir
<SEG>
tous	PRO:IND	tout
tous	PRO:IND	tout
les	DET:ART	le
soirs	NOM	soir
les	DET:ART	le
mois	NOM	moi|mois
,	PUN	,
jours	NOM	jour
,	PUN	,
.	SENT	.
<SEG>
<EOS>	<EOS>	<EOS>
à	PRP	à
belle	ADJ	beau
grâce	NOM	grâce
cependant	ADV	cependant
,	PUN	,
et	KON	et
mine	NOM	mine
Quelquefois	ADV	quelquefois
sa	DET:POS	son
<SEG>
galante	ADJ	galant
tournure	NOM	tournure
à	PRP	à
volait	VER:impf	voler
par	PRP	par
-ci	ADV	-ci
sa	DET:POS	son
,	PUN	,
il	PRO:PER	il
,	PUN	,
<SEG>
,	PUN	,
peu	ADV	peu
-là	ADV	là
amour	NOM	amour
mais	KON	mais
un	DET:ART	un
,	PUN	,
d'	PRP	de
,	PUN	,
par	PRP	par
<SEG>
espérait	VER:impf	espérer
.	SENT	.
et	KON	et
il	PRO:PER	il
mieux	ADV	mieux
toujours	ADV	toujours
<EOS>	<EOS>	<EOS>
La	DET:ART	le
plus	ADV	plus
poche	NOM	poche
<SEG>
le	DET:ART	le
il	PRO:PER	il
sang	NOM	sang
bouillant	VER:ppre	bouiller|bouillir
vide	ADJ	vide
,	PUN	,
et	KON	et
allumait	VER:impf	allumer
au	PRP:det	au
s'	PRO:PER	se
<SEG>
rôdeuses	NOM	rôdeur
à	PRP	à
angle	NOM	angle
des	PRP:det	du
,	PUN	,
qui	PRO:REL	qui
des	PRP:det	du
l'	DET:ART	le
contact	NOM	contact
murmurent	VER:pres	murmurer
<SEG>
Venez	VER:pres	venir
moi	PRO:PER	moi
garçon	NOM	garçon
joli	ADJ	joli
rues	NOM	rue
«	PUN:cit	«
chez	PRP	chez
:	PUN	:
-vous	PRO:PER	vous
,	PUN	,
<SEG>
mais	KON	mais
il	PRO:PER	il
?	SENT	?
»	PUN:cit	»
les	PRO:PER	la|le
,	PUN	,
<EOS>	<EOS>	<EOS>
n'	ADV	ne
osait	VER:impf	oser
suivre	VER:infi	suivre
<SEG>
autre	ADJ	autre
attendait	VER:impf	attendre
;	PUN	;
les	PRO:PER	la|le
ne	ADV	ne
et	KON	et
il	PRO:PER	il
aussi	ADV	aussi
pouvant	VER:ppre	pouvoir
payer	VER:infi	payer
<SEG>
moins	ADV	moins
chose	NOM	chose
,	PUN	,
autres	ADJ	autre
baisers	NOM	baiser
<EOS>	<EOS>	<EOS>
vulgaires	ADJ	vulgaire
d'	PRP	de
,	PUN	,
.	SENT	.
<SEG>
les	DET:ART	le
où	PRO:REL	où
publiques	ADJ	publique
grouillent	VER:pres	grouiller
Il	PRO:PER	il
cependant	ADV	cependant
aimait	VER:impf	aimer
les	DET:ART	le
filles	NOM	fille
lieux	NOM	lieu
<SEG>
,	PUN	,
bals	NOM	bal
leurs	DET:POS	leur
leurs	DET:POS	leur
,	PUN	,
rues	NOM	rue
cafés	NOM	café
,	PUN	,
;	PUN	;
leurs	DET:POS	leur
<SEG>
les	PRO:PER	la|le
parler	VER:infi	parler
coudoyer	VER:infi	coudoyer
il	PRO:PER	il
,	PUN	,
leur	PRO:PER	lui
aimait	VER:impf	aimer
,	PUN	,
les	PRO:PER	la|le
tutoyer	VER:infi	tutoyer
<SEG>
violents	ADJ	violent
se	PRO:PER	se
sentir	VER:infi	sentir
d'	PRP	de
