	Gaboriau_Lerouge_0	Gaboriau_Lerouge_1	Gaboriau_Lerouge_2	Gaboriau_Lerouge_3	Gaboriau_Lerouge_4	Gaboriau_Lerouge_5	Gaboriau_Lerouge_6	Gaboriau_Lerouge_7	Gaboriau_Lerouge_8	Gaboriau_Lerouge_9	Gaboriau_Lerouge_10	Gaboriau_Lerouge_11	Gaboriau_Lerouge_12	Gaboriau_Lerouge_13	Gaboriau_Lerouge_14	Gaboriau_Lerouge_15	Gaboriau_Lerouge_16	Gaboriau_Lerouge_17	Gaboriau_Lerouge_18	Gaboriau_Lerouge_19	Gaboriau_Lerouge_20	Gaboriau_Lerouge_21	Gaboriau_Lerouge_22	Gaboriau_Lerouge_23	Gaboriau_Lerouge_24	Gaboriau_Lerouge_25	Gaboriau_Lerouge_26	Gaboriau_Lerouge_27	Gaboriau_Lerouge_28	Gaboriau_Lerouge_29	Gaboriau_Lerouge_30	Gaboriau_Lerouge_sum
,_PUN_,	346.0	358.0	357.0	356.0	352.0	337.0	334.0	359.0	346.0	340.0	340.0	371.0	360.0	345.0	347.0	342.0	320.0	326.0	367.0	342.0	328.0	333.0	315.0	362.0	350.0	366.0	348.0	355.0	324.0	371.0	89.0	10486.0
._SENT_.	249.0	266.0	225.0	229.0	232.0	236.0	225.0	226.0	238.0	236.0	233.0	242.0	225.0	231.0	236.0	238.0	257.0	245.0	259.0	254.0	241.0	215.0	240.0	253.0	242.0	228.0	242.0	246.0	231.0	228.0	58.0	7206.0
de_PRP_de	179.0	137.0	162.0	131.0	156.0	185.0	146.0	153.0	187.0	148.0	167.0	182.0	161.0	174.0	169.0	155.0	187.0	162.0	119.0	162.0	135.0	161.0	138.0	133.0	150.0	146.0	140.0	151.0	167.0	155.0	41.0	4739.0
le_DET:ART_le	98.0	106.0	92.0	75.0	74.0	71.0	37.0	69.0	52.0	60.0	73.0	84.0	52.0	65.0	78.0	81.0	84.0	80.0	84.0	74.0	44.0	90.0	71.0	62.0	88.0	70.0	84.0	92.0	96.0	70.0	12.0	2268.0
la_DET:ART_le	97.0	84.0	95.0	74.0	69.0	78.0	53.0	76.0	82.0	75.0	95.0	100.0	49.0	61.0	73.0	74.0	69.0	81.0	62.0	64.0	65.0	85.0	80.0	66.0	69.0	80.0	77.0	57.0	75.0	78.0	18.0	2261.0
et_KON_et	97.0	70.0	83.0	82.0	70.0	88.0	85.0	80.0	82.0	78.0	90.0	87.0	64.0	66.0	75.0	65.0	70.0	63.0	65.0	75.0	54.0	78.0	74.0	66.0	74.0	84.0	87.0	61.0	59.0	64.0	17.0	2253.0
à_PRP_à	70.0	61.0	80.0	73.0	68.0	81.0	64.0	81.0	71.0	68.0	82.0	96.0	79.0	72.0	89.0	63.0	106.0	81.0	83.0	82.0	67.0	68.0	73.0	69.0	53.0	65.0	78.0	72.0	41.0	87.0	17.0	2240.0
il_PRO:PER_il	56.0	59.0	74.0	44.0	37.0	52.0	50.0	68.0	88.0	68.0	93.0	56.0	81.0	82.0	71.0	67.0	90.0	78.0	68.0	67.0	44.0	95.0	91.0	71.0	66.0	53.0	34.0	72.0	89.0	77.0	19.0	2060.0
--_PUN_--	60.0	108.0	58.0	80.0	67.0	66.0	81.0	51.0	37.0	51.0	23.0	38.0	58.0	64.0	58.0	53.0	34.0	87.0	73.0	61.0	87.0	14.0	38.0	65.0	72.0	62.0	52.0	53.0	64.0	54.0	8.0	1777.0
un_DET:ART_un	65.0	64.0	49.0	68.0	39.0	66.0	69.0	60.0	41.0	59.0	80.0	65.0	50.0	50.0	51.0	60.0	70.0	38.0	54.0	50.0	45.0	70.0	51.0	35.0	39.0	48.0	70.0	54.0	69.0	55.0	14.0	1698.0
