	Malot_Cara_0	Malot_Cara_1	Malot_Cara_2	Malot_Cara_3	Malot_Cara_4	Malot_Cara_5	Malot_Cara_6	Malot_Cara_7	Malot_Cara_8	Malot_Cara_9	Malot_Cara_10	Malot_Cara_11	Malot_Cara_12	Malot_Cara_13	Malot_Cara_14	Malot_Cara_15	Malot_Cara_16	Malot_Cara_17	Malot_Cara_18	Malot_Cara_19	Malot_Cara_20	Malot_Cara_21	Malot_Cara_22	Malot_Cara_23	Malot_Cara_24	Malot_Cara_25	Malot_Cara_26	Malot_Cara_sum
,_PUN_,	374.0	268.0	284.0	290.0	293.0	333.0	316.0	359.0	334.0	328.0	338.0	319.0	311.0	350.0	297.0	337.0	359.0	375.0	320.0	334.0	307.0	309.0	297.0	326.0	335.0	291.0	303.0	8687.0
<EOS>_<EOS>_<EOS>	144.0	193.0	178.0	187.0	166.0	178.0	150.0	188.0	212.0	175.0	169.0	191.0	171.0	157.0	136.0	135.0	139.0	164.0	131.0	179.0	169.0	158.0	161.0	165.0	178.0	171.0	127.0	4472.0
de_PRP_de	181.0	166.0	144.0	152.0	169.0	155.0	176.0	140.0	129.0	147.0	141.0	140.0	169.0	124.0	170.0	168.0	140.0	149.0	182.0	149.0	124.0	156.0	131.0	133.0	144.0	164.0	149.0	4092.0
._SENT_.	148.0	172.0	150.0	162.0	132.0	147.0	130.0	154.0	174.0	149.0	149.0	140.0	154.0	120.0	128.0	112.0	119.0	133.0	122.0	127.0	134.0	126.0	125.0	138.0	141.0	146.0	111.0	3743.0
et_KON_et	85.0	93.0	84.0	79.0	111.0	88.0	107.0	93.0	79.0	89.0	110.0	106.0	93.0	89.0	78.0	95.0	96.0	81.0	98.0	77.0	81.0	85.0	99.0	78.0	80.0	93.0	99.0	2446.0
à_PRP_à	75.0	70.0	89.0	80.0	99.0	66.0	81.0	53.0	89.0	90.0	72.0	82.0	84.0	82.0	87.0	81.0	65.0	88.0	102.0	80.0	80.0	98.0	106.0	81.0	92.0	88.0	107.0	2267.0
la_DET:ART_le	94.0	85.0	101.0	90.0	54.0	52.0	76.0	71.0	73.0	72.0	92.0	87.0	67.0	50.0	48.0	74.0	58.0	71.0	62.0	76.0	63.0	71.0	82.0	62.0	67.0	95.0	92.0	1985.0
il_PRO:PER_il	59.0	67.0	59.0	67.0	59.0	46.0	46.0	46.0	77.0	53.0	60.0	65.0	100.0	83.0	116.0	75.0	79.0	67.0	70.0	69.0	53.0	67.0	76.0	74.0	70.0	111.0	79.0	1893.0
elle_PRO:PER_elle	20.0	42.0	51.0	44.0	65.0	97.0	131.0	82.0	67.0	55.0	103.0	61.0	34.0	90.0	38.0	62.0	32.0	50.0	40.0	75.0	49.0	69.0	78.0	49.0	55.0	64.0	32.0	1635.0
;_PUN_;	50.0	78.0	55.0	62.0	46.0	37.0	39.0	60.0	73.0	59.0	49.0	60.0	42.0	43.0	71.0	44.0	57.0	58.0	55.0	59.0	66.0	56.0	53.0	63.0	52.0	70.0	48.0	1505.0
