I	NUM	I
À	PRP	à
salle	NOM	salle
heures	NOM	heure
,	PUN	,
Chapitre	NOM	chapitre
théâtre	NOM	théâtre
du	PRP:det	du
la	DET:ART	le
neuf	ADJ	neuf
<SEG>
Quelques	PRO:IND	quelque
.	SENT	.
personnes	NOM	personne
des	PRP:det	du
était	VER:impf	être
encore	ADV	encore
Variétés	NAM	Variétés
,	PUN	,
au	PRP:det	au
vide	ADJ	vide
<SEG>
les	DET:ART	le
perdues	VER:pper	perdre
balcon	NOM	balcon
attendaient	VER:impf	attendre
parmi	PRP	parmi
à	PRP	à
,	PUN	,
et	KON	et
l’orchestre	NOM	l’orchestre
,	PUN	,
<SEG>
dans	PRP	dans
petit	ADJ	petit
velours	NOM	velours
le	DET:ART	le
jour	NOM	jour
du	PRP:det	du
grenat	NOM	grenat
de	PRP	de
fauteuils	NOM	fauteuil
,	PUN	,
<SEG>
la	DET:ART	le
ombre	NOM	ombre
tache	NOM	tache
.	SENT	.
Une	DET:ART	un
demi-feux	NOM	demi-feux
à	PRP	à
grande	ADJ	grand
noyait	VER:impf	noyer
lustre	NOM	lustre
<SEG>
;	PUN	;
et	KON	et
rideau	NOM	rideau
venait	VER:impf	venir
ne	ADV	ne
rouge	ADJ	rouge
pas	ADV	pas
un	DET:ART	un
du	PRP:det	du
bruit	NOM	bruit
<SEG>
rampe	NOM	rampe
la	DET:ART	le
éteinte	VER:pper	éteindre
pupitres	NOM	pupitre
la	DET:ART	le
,	PUN	,
scène	NOM	scène
,	PUN	,
de	PRP	de
les	DET:ART	le
<SEG>
.	SENT	.
des	PRP:det	du
à	PRP	à
,	PUN	,
haut	ADV	haut
musiciens	NOM	musicien
seulement	ADV	seulement
la	DET:ART	le
débandés	VER:pper	débander
En	PRP	en
<SEG>
troisième	NUM	troisième
autour	ADV	autour
,	PUN	,
du	PRP:det	du
où	PRO:REL	où
de	PRP	de
plafond	NOM	plafond
la	DET:ART	le
rotonde	NOM	rotonde
galerie	NOM	galerie
<SEG>
leur	DET:POS	leur
femmes	NOM	femme
dans	PRP	dans
prenaient	VER:impf	prendre
et	KON	et
enfants	NOM	enfant
nus	NOM	nu
des	PRP:det	du
des	PRP:det	du
volée	NOM	volée
<SEG>
,	PUN	,
appels	NOM	appel
gaz	NOM	gaz
par	PRP	par
un	DET:ART	un
verdi	VER:pper	verdir
ciel	NOM	ciel
et	KON	et
des	PRP:det	du
le	DET:ART	le
<SEG>
des	PRP:det	du
d’un	ADJ	d’un
,	PUN	,
de	PRP	de
voix	NOM	voix
continu	ADJ	continu
des	PRP:det	du
sortaient	VER:impf	sortir
brouhaha	NOM	brouhaha
rires	NOM	rire
<SEG>
coiffées	VER:pper	coiffer
bonnets	NOM	bonnet
sous	PRP	sous
de	PRP	de
les	DET:ART	le
têtes	NOM	tête
et	KON	et
casquettes	NOM	casquette
s’étageaient	VER:cond	s’étageaient
de	PRP	de
<SEG>
Par	PRP	par
larges	ADJ	large
moments	NOM	moment
baies	NOM	bai|baie
encadrées	VER:pper	encadrer
rondes	ADJ	rond
d’or	NOM	d’or
.	SENT	.
,	PUN	,
,	PUN	,
<SEG>
,	PUN	,
montrait	VER:impf	montrer
des	PRP:det	du
une	DET:ART	un
se	PRO:PER	se
,	PUN	,
ouvreuse	NOM	ouvreur|ouvreuse
affairée	VER:pper	affairer
coupons	NOM	coupon
à	PRP	à
<SEG>
main	NOM	main
devant	PRP	devant
un	DET:ART	un
,	PUN	,
poussant	VER:ppre	pousser
et	KON	et
elle	PRO:PER	elle
monsieur	NOM	monsieur
une	DET:ART	un
la	DET:ART	le
<SEG>
dame	NOM	dame
femme	NOM	femme
,	PUN	,
en	PRP	en
la	DET:ART	le
s’asseyaient	VER:impf	s’asseyaient
l’homme	NOM	l’homme
habit	NOM	habit
qui	PRO:REL	qui
,	PUN	,
<SEG>
promenant	VER:ppre	promener
mince	ADJ	mince
.	SENT	.
regard	NOM	regard
et	KON	et
cambrée	VER:pper	cambrer
,	PUN	,
lent	ADJ	lent
un	DET:ART	un
Deux	NUM	deux
<SEG>
à	PRP	à
tinrent	VER:simp	tenir
debout	ADV	debout
gens	NOM	gens
l’orchestre	NOM	l’orchestre
parurent	VER:simp	paraître
.	SENT	.
se	PRO:PER	se
jeunes	ADJ	jeune
Ils	PRO:PER	il
<SEG>
--	PUN	--
Hector	NAM	Hector
disais	VER:impf	dire
te	PRO:PER	te
-je	PRO:PER	je
regardant	ADJ	regardant
,	PUN	,
Que	PRO:REL	que
,	PUN	,
.	SENT	.
<SEG>
âgé	ADJ	âgé
grand	ADJ	grand
garçon	NOM	garçon
plus	ADV	plus
à	PRP	à
,	PUN	,
?	SENT	?
le	DET:ART	le
s’écria	VER:simp	s’écria
un	DET:ART	un
<SEG>
moustaches	NOM	moustache
venons	VER:pres	venir
,	PUN	,
petites	ADJ	petit
trop	ADV	trop
tôt	ADV	tôt
Tu	PRO:PER	tu
nous	PRO:PER	nous
noires	ADJ	noir
.	SENT	.
<SEG>
achever	VER:infi	achever
aurais	VER:cond	avoir
Une	DET:ART	un
laisser	VER:infi	laisser
pu	VER:pper	pouvoir
bien	ADV	bien
.	SENT	.
mon	DET:POS	mon
me	PRO:PER	me
cigare	NOM	cigare
<SEG>
Fauchery	NAM	Fauchery
--	PUN	--
Oh	INT	oh
.	SENT	.
!	SENT	!
ouvreuse	NOM	ouvreur|ouvreuse
monsieur	NOM	monsieur
passait	VER:impf	passer
,	PUN	,
dit-elle	NOM	dit-elle
<SEG>
avant	PRP	avant
pas	ADV	pas
commencera	VER:futu	commencer
demi-heure	NOM	demi-heure
familièrement	ADV	familièrement
ne	ADV	ne
.	SENT	.
ça	PRO:DEM	cela
une	DET:ART	un
,	PUN	,
<SEG>
Alors	ADV	alors
pour	PRP	pour
heures	NOM	heure
,	PUN	,
-ils	PRO:PER	il
--	PUN	--
?	SENT	?
affichent	VER:pres	afficher
neuf	ADJ	neuf
pourquoi	ADV	pourquoi
<SEG>
longue	ADJ	longue
murmura	VER:simp	murmurer
figure	NOM	figure
Hector	NAM	Hector
maigre	ADJ	maigre
prit	VER:simp	prendre
un	DET:ART	un
dont	PRO:REL	dont
la	DET:ART	le
,	PUN	,
<SEG>
air	NOM	air
Clarisse	NAM	Clarisse
matin	NOM	matin
,	PUN	,
qui	PRO:REL	qui
Ce	PRO:DEM	ce
,	PUN	,
est	VER:pres	être
vexé	VER:pper	vexer
.	SENT	.
<SEG>
de	PRP	de
la	DET:ART	le
,	PUN	,
commencerait	VER:cond	commencer
qu’on	NOM	qu’on
pièce	NOM	pièce
à	PRP	à
m’a	VER:simp	m’a
juré	ADJ	juré
encore	ADV	encore
<SEG>
heures	NOM	heure
Un	DET:ART	un
,	PUN	,
précises	ADJ	précis
neuf	ADJ	neuf
instant	NOM	instant
turent	VER:simp	taire
ils	PRO:PER	il
se	PRO:PER	se
.	SENT	.
<SEG>
l’ombre	NOM	l’ombre
loges	NOM	loge
levant	VER:ppre	lever
la	DET:ART	le
,	PUN	,
tête	NOM	tête
fouillant	VER:ppre	fouiller
.	SENT	.
,	PUN	,
des	PRP:det	du
<SEG>
assombrissait	VER:impf	assombrir
étaient	VER:impf	être
elles	PRO:PER	elle
tapissées	VER:pper	tapisser
Mais	KON	mais
les	PRO:PER	la|le
dont	PRO:REL	dont
papier	NOM	papier
le	DET:ART	le
vert	ADJ	vert
<SEG>
galerie	NOM	galerie
.	SENT	.
encore	ADV	encore
,	PUN	,
la	DET:ART	le
bas	ADV	bas
,	PUN	,
les	DET:ART	le
sous	PRP	sous
En	PRP	en
<SEG>
nuit	NOM	nuit
s’enfonçaient	VER:impf	s’enfonçaient
une	DET:ART	un
baignoires	NOM	baignoire
de	PRP	de
.	SENT	.
complète	ADJ	complet
Aux	PRP:det	au
dans	PRP	dans
loges	NOM	loge
<SEG>
avait	VER:impf	avoir
qu’une	NOM	qu’une
n’y	NOM	n’y
balcon	NOM	balcon
échouée	VER:pper	échouer
,	PUN	,
,	PUN	,
grosse	ADJ	gros
il	PRO:PER	il
dame	NOM	dame
<SEG>
droite	NOM	droit|droite
sur	PRP	sur
de	PRP	de
le	DET:ART	le
et	KON	et
À	PRP	à
velours	NOM	velours
.	SENT	.
rampe	NOM	rampe
la	DET:ART	le
<SEG>
les	DET:ART	le
avant-scènes	NOM	avant-scène
entre	PRP	entre
,	PUN	,
gauche	ADJ	gauche
hautes	ADJ	haut
à	PRP	à
colonnes	NOM	colonne
,	PUN	,
de	PRP	de
<SEG>
vides	ADJ	vide
.	SENT	.
franges	NOM	frange
,	PUN	,
longues	ADJ	longue
drapées	VER:pper	draper
lambrequins	NOM	lambrequin
de	PRP	de
à	PRP	à
restaient	VER:impf	rester
<SEG>
blanche	ADJ	blanc
salle	NOM	salle
tendre	ADJ	tendre
,	PUN	,
de	PRP	de
relevée	VER:pper	relever
La	DET:ART	le
et	KON	et
or	NOM	or
vert	NOM	vert
<SEG>
,	PUN	,
les	DET:ART	le
poussière	NOM	poussière
par	PRP	par
comme	ADV	comme
,	PUN	,
emplie	VER:pper	emplir
d’une	VER:pres	d’une
fine	ADJ	fin
s’effaçait	VER:impf	s’effaçait
<SEG>
.	SENT	.
lustre	NOM	lustre
courtes	ADJ	court
de	PRP	de
grand	ADJ	grand
--	PUN	--
du	PRP:det	du
cristal	NOM	cristal
flammes	NOM	flamme
Est	VER:pres	être
<SEG>
-ce	PRO:DEM	ce
eu	VER:pper	avoir
tu	PRO:PER	tu
ton	DET:POS	ton
pour	PRP	pour
?	SENT	?
as	VER:pres	avoir
avant-scène	NOM	avant-scène
que	PRO:REL	que
Lucy	NAM	Lucy
<SEG>
,	PUN	,
mais	KON	mais
.	SENT	.
répondit	VER:simp	répondre
Hector	NAM	Hector
,	PUN	,
--	PUN	--
demanda	VER:simp	demander
l’autre	NOM	l’autre
Oui	INT	oui
<SEG>
peine	NOM	peine
Oh	NAM	Oh
n’a	NOM	n’a
pas	ADV	pas
il	PRO:PER	il
été	VER:pper	être
!	SENT	!
ça	PRO:DEM	cela
sans	PRP	sans
...	PUN	...
<SEG>
pas	ADV	pas
tôt	ADV	tôt
que	KON	que
danger	NOM	danger
trop	ADV	trop
a	VER:pres	avoir
vienne	VER:subp	venir
n’y	NOM	n’y
Lucy	NAM	Lucy
de	PRP	de
<SEG>
étouffa	VER:simp	étouffer
,	PUN	,
,	PUN	,
puis	ADV	puis
bâillement	NOM	bâillement
Il	PRO:PER	il
elle	PRO:PER	elle
un	DET:ART	un
léger	ADJ	léger
!	SENT	!
<SEG>
la	DET:ART	le
Tu	PRO:PER	tu
--	PUN	--
un	DET:ART	un
silence	NOM	silence
:	PUN	:
de	PRP	de
après	PRP	après
as	VER:pres	avoir
,	PUN	,
<SEG>
première	NUM	premier
qui	PRO:REL	qui
chance	NOM	chance
de	PRP	de
vu	VER:pper	voir
n’as	NOM	n’as
pas	ADV	pas
,	PUN	,
encore	ADV	encore
toi	PRO:PER	toi
<SEG>
l’année	NOM	l’année
...	PUN	...
On	PRO:PER	on
sera	VER:futu	être
l’événement	NOM	l’événement
La	DET:ART	le
de	PRP	de
Vénus	NAM	Vénus
Blonde	NAM	Blonde
.	SENT	.
<SEG>
en	PRO:PER	en
cher	ADJ	cher
mon	DET:POS	mon
mois	NOM	moi|mois
Ah	INT	ah
.	SENT	.
!	SENT	!
depuis	PRP	depuis
parle	VER:pres	parler
six	NUM	six
<SEG>
!	SENT	!
une	DET:ART	un
,	PUN	,
Bordenave	NAM	Bordenave
un	DET:ART	un
...	PUN	...
musique	NOM	musique
,	PUN	,
!	SENT	!
chien	NOM	chien
<SEG>
a	VER:pres	avoir
gardé	VER:pper	garder
son	DET:POS	son
qui	PRO:REL	qui
,	PUN	,
l’Exposition	NOM	l’Exposition
ça	PRO:DEM	cela
sait	VER:pres	savoir
pour	PRP	pour
affaire	NOM	affaire
<SEG>
une	DET:ART	un
Hector	NAM	Hector
question	NOM	question
posa	VER:simp	poser
écoutait	VER:impf	écouter
.	SENT	.
.	SENT	.
religieusement	ADV	religieusement
.	SENT	.
Il	PRO:PER	il
<SEG>
Nana	NAM	Nana
jouer	VER:infi	jouer
nouvelle	ADJ	nouveau
,	PUN	,
qui	PRO:REL	qui
Et	KON	et
doit	VER:pres	devoir
l’étoile	NOM	l’étoile
,	PUN	,
--	PUN	--
<SEG>
-ce	PRO:DEM	ce
--	PUN	--
la	PRO:PER	la
?	SENT	?
Vénus	NAM	Vénus
tu	PRO:PER	tu
,	PUN	,
est	VER:pres	être
que	PRO:REL	que
connais	VER:pres	connaître
<SEG>
!	SENT	!
Fauchery	NAM	Fauchery
!	SENT	!
va	VER:pres	aller
cria	VER:simp	crier
bon	ADJ	bon
recommencer	VER:infi	recommencer
ça	PRO:DEM	cela
Allons	VER:pres	aller
,	PUN	,
<SEG>
bras	NOM	bras
en	PRP	en
les	DET:ART	le
.	SENT	.
matin	NOM	matin
en	PRP	en
Depuis	PRP	depuis
ce	PRO:DEM	ce
jetant	VER:ppre	jeter
l’air	NOM	l’air
<SEG>
avec	PRP	avec
rencontré	VER:pper	rencontrer
.	SENT	.
,	PUN	,
m’assomme	VER:subp	m’assomme
Nana	NAM	Nana
de	PRP	de
J’ai	VER:simp	J’ai
on	PRO:PER	on
plus	ADV	plus
<SEG>
personnes	NOM	personne
-ci	ADV	-ci
,	PUN	,
et	KON	et
vingt	NUM	vingt
par	PRP	par
Nana	NAM	Nana
,	PUN	,
Nana	NAM	Nana
et	KON	et
<SEG>
que	PRO:REL	que
sais	VER:pres	savoir
moi	PRO:PER	moi
-ce	PRO:DEM	ce
,	PUN	,
Est	VER:pres	être
!	SENT	!
par	PRP	par
-là	ADV	là
je	PRO:PER	je
<SEG>
filles	NOM	fille
-ce	PRO:DEM	ce
connais	VER:pres	connaître
!	SENT	!
de	PRP	de
que	PRO:REL	que
je	PRO:PER	je
est	VER:pres	être
