	Mirbeau_SebastienRoch_0	Mirbeau_SebastienRoch_1	Mirbeau_SebastienRoch_2	Mirbeau_SebastienRoch_3	Mirbeau_SebastienRoch_4	Mirbeau_SebastienRoch_5	Mirbeau_SebastienRoch_6	Mirbeau_SebastienRoch_7	Mirbeau_SebastienRoch_8	Mirbeau_SebastienRoch_9	Mirbeau_SebastienRoch_10	Mirbeau_SebastienRoch_11	Mirbeau_SebastienRoch_12	Mirbeau_SebastienRoch_13	Mirbeau_SebastienRoch_14	Mirbeau_SebastienRoch_15	Mirbeau_SebastienRoch_16	Mirbeau_SebastienRoch_17	Mirbeau_SebastienRoch_18	Mirbeau_SebastienRoch_19	Mirbeau_SebastienRoch_20	Mirbeau_SebastienRoch_21	Mirbeau_SebastienRoch_22	Mirbeau_SebastienRoch_23	Mirbeau_SebastienRoch_24	Mirbeau_SebastienRoch_sum
,_PUN_,	503.0	499.0	499.0	587.0	543.0	501.0	570.0	478.0	483.0	550.0	539.0	490.0	502.0	534.0	516.0	486.0	450.0	435.0	427.0	456.0	489.0	442.0	447.0	428.0	148.0	12002.0
<EOS>_<EOS>_<EOS>	172.0	157.0	211.0	162.0	216.0	191.0	146.0	223.0	208.0	161.0	166.0	190.0	244.0	183.0	240.0	222.0	261.0	260.0	265.0	228.0	223.0	277.0	246.0	270.0	76.0	5198.0
de_PRP_de	219.0	218.0	158.0	193.0	192.0	203.0	235.0	168.0	160.0	199.0	202.0	173.0	165.0	233.0	153.0	167.0	165.0	149.0	139.0	180.0	151.0	153.0	146.0	161.0	49.0	4331.0
._SENT_.	130.0	117.0	148.0	119.0	126.0	139.0	125.0	143.0	112.0	133.0	139.0	133.0	161.0	126.0	151.0	124.0	122.0	171.0	170.0	184.0	148.0	192.0	128.0	189.0	55.0	3485.0
et_KON_et	91.0	91.0	71.0	80.0	77.0	89.0	106.0	83.0	68.0	121.0	107.0	92.0	80.0	105.0	78.0	81.0	61.0	89.0	101.0	106.0	103.0	95.0	101.0	112.0	33.0	2221.0
..._PUN_...	74.0	71.0	107.0	63.0	51.0	62.0	49.0	134.0	141.0	28.0	42.0	53.0	100.0	59.0	63.0	79.0	126.0	77.0	58.0	24.0	71.0	73.0	121.0	87.0	24.0	1837.0
la_DET:ART_le	77.0	75.0	64.0	95.0	86.0	75.0	80.0	56.0	70.0	107.0	65.0	81.0	72.0	81.0	61.0	65.0	57.0	63.0	74.0	77.0	65.0	64.0	67.0	69.0	23.0	1769.0
les_DET:ART_le	71.0	62.0	75.0	68.0	48.0	68.0	83.0	73.0	63.0	78.0	69.0	69.0	55.0	84.0	66.0	64.0	38.0	35.0	32.0	64.0	35.0	66.0	53.0	59.0	12.0	1490.0
il_PRO:PER_il	52.0	81.0	73.0	56.0	73.0	65.0	62.0	49.0	65.0	78.0	79.0	73.0	52.0	67.0	88.0	72.0	85.0	49.0	38.0	38.0	23.0	61.0	38.0	60.0	12.0	1489.0
des_PRP:det_du	67.0	75.0	63.0	109.0	59.0	61.0	91.0	46.0	80.0	75.0	77.0	58.0	62.0	86.0	51.0	37.0	29.0	52.0	44.0	70.0	27.0	42.0	49.0	40.0	14.0	1464.0
à_PRP_à	58.0	66.0	64.0	66.0	56.0	69.0	81.0	49.0	64.0	63.0	72.0	65.0	58.0	48.0	65.0	64.0	50.0	61.0	56.0	49.0	47.0	51.0	55.0	55.0	18.0	1450.0
le_DET:ART_le	72.0	52.0	61.0	60.0	45.0	48.0	48.0	39.0	66.0	45.0	50.0	56.0	58.0	63.0	66.0	57.0	64.0	46.0	60.0	67.0	33.0	45.0	46.0	57.0	26.0	1330.0
d'_PRP_de	56.0	58.0	53.0	69.0	80.0	62.0	59.0	48.0	50.0	63.0	77.0	63.0	48.0	58.0	35.0	41.0	39.0	48.0	41.0	43.0	63.0	53.0	48.0	32.0	16.0	1303.0
un_DET:ART_un	49.0	45.0	76.0	63.0	57.0	50.0	47.0	35.0	43.0	50.0	57.0	42.0	35.0	42.0	41.0	42.0	53.0	46.0	47.0	50.0	44.0	50.0	41.0	51.0	16.0	1172.0
!_SENT_!	44.0	33.0	59.0	21.0	63.0	25.0	16.0	45.0	70.0	22.0	19.0	38.0	43.0	25.0	40.0	60.0	100.0	57.0	65.0	37.0	57.0	57.0	74.0	46.0	17.0	1133.0
l'_DET:ART_le	54.0	46.0	40.0	57.0	48.0	52.0	48.0	22.0	31.0	63.0	39.0	51.0	47.0	45.0	36.0	30.0	34.0	29.0	35.0	60.0	42.0	41.0	40.0	38.0	7.0	1035.0
une_DET:ART_un	32.0	36.0	33.0	62.0	43.0	48.0	36.0	37.0	39.0	31.0	49.0	50.0	43.0	39.0	36.0	45.0	25.0	40.0	39.0	32.0	46.0	37.0	36.0	34.0	8.0	956.0
qui_PRO:REL_qui	43.0	31.0	35.0	34.0	30.0	43.0	41.0	35.0	34.0	39.0	34.0	40.0	43.0	38.0	35.0	35.0	28.0	28.0	47.0	47.0	37.0	30.0	50.0	43.0	8.0	908.0
ne_ADV_ne	23.0	33.0	28.0	25.0	32.0	34.0	24.0	45.0	30.0	31.0	28.0	31.0	36.0	22.0	32.0	35.0	33.0	34.0	45.0	24.0	47.0	37.0	45.0	33.0	11.0	798.0
--_PUN_--	28.0	25.0	28.0	20.0	18.0	29.0	15.0	54.0	32.0	10.0	15.0	17.0	37.0	14.0	36.0	33.0	56.0	57.0	31.0	13.0	40.0	43.0	58.0	51.0	20.0	780.0
que_KON_que	36.0	32.0	33.0	21.0	28.0	24.0	20.0	45.0	34.0	28.0	22.0	26.0	29.0	19.0	21.0	18.0	29.0	32.0	46.0	32.0	44.0	44.0	38.0	34.0	5.0	740.0
s'_PRO:PER_se	19.0	24.0	30.0	44.0	22.0	35.0	40.0	23.0	28.0	38.0	34.0	36.0	36.0	26.0	32.0	31.0	20.0	26.0	32.0	20.0	24.0	26.0	34.0	40.0	14.0	734.0
dans_PRP_dans	25.0	25.0	32.0	37.0	20.0	29.0	32.0	24.0	24.0	28.0	34.0	40.0	29.0	35.0	40.0	29.0	24.0	29.0	28.0	42.0	30.0	27.0	32.0	23.0	13.0	731.0
se_PRO:PER_se	30.0	27.0	33.0	35.0	41.0	36.0	34.0	32.0	23.0	31.0	36.0	27.0	24.0	32.0	32.0	30.0	22.0	22.0	18.0	16.0	23.0	28.0	41.0	36.0	17.0	726.0
lui_PRO:PER_lui	20.0	35.0	27.0	30.0	45.0	37.0	27.0	34.0	27.0	42.0	37.0	35.0	24.0	27.0	31.0	25.0	30.0	17.0	19.0	10.0	11.0	20.0	34.0	29.0	10.0	683.0
est_VER:pres_être	27.0	9.0	31.0	5.0	15.0	17.0	17.0	27.0	34.0	11.0	9.0	13.0	18.0	5.0	55.0	24.0	40.0	38.0	49.0	54.0	45.0	39.0	36.0	28.0	5.0	651.0
pas_ADV_pas	20.0	17.0	22.0	12.0	27.0	27.0	24.0	38.0	28.0	18.0	19.0	22.0	30.0	19.0	25.0	30.0	32.0	25.0	29.0	22.0	47.0	28.0	34.0	36.0	6.0	637.0
en_PRP_en	41.0	33.0	26.0	36.0	15.0	31.0	22.0	24.0	21.0	22.0	33.0	31.0	21.0	19.0	28.0	16.0	23.0	22.0	20.0	22.0	31.0	26.0	18.0	25.0	6.0	612.0
?_SENT_?	16.0	13.0	17.0	16.0	27.0	24.0	4.0	32.0	25.0	4.0	12.0	19.0	33.0	23.0	44.0	35.0	40.0	33.0	25.0	13.0	22.0	26.0	43.0	39.0	1.0	586.0
son_DET:POS_son	24.0	30.0	34.0	17.0	38.0	22.0	38.0	23.0	26.0	14.0	27.0	27.0	15.0	21.0	34.0	23.0	23.0	24.0	11.0	13.0	15.0	17.0	22.0	20.0	6.0	564.0
plus_ADV_plus	23.0	33.0	22.0	16.0	30.0	19.0	25.0	29.0	15.0	23.0	20.0	28.0	25.0	13.0	20.0	18.0	18.0	13.0	26.0	31.0	18.0	32.0	32.0	18.0	11.0	558.0
Il_PRO:PER_il	18.0	12.0	21.0	21.0	29.0	26.0	17.0	33.0	20.0	24.0	24.0	22.0	37.0	18.0	20.0	25.0	28.0	14.0	23.0	14.0	15.0	23.0	26.0	27.0	12.0	549.0
je_PRO:PER_je	10.0	18.0	10.0	2.0	2.0	13.0	3.0	24.0	16.0	4.0	8.0	18.0	19.0	16.0	10.0	16.0	32.0	46.0	66.0	48.0	64.0	32.0	33.0	22.0	4.0	536.0
ses_DET:POS_son	23.0	19.0	22.0	20.0	25.0	25.0	35.0	19.0	13.0	49.0	29.0	24.0	27.0	27.0	23.0	21.0	14.0	20.0	10.0	10.0	22.0	20.0	20.0	11.0	5.0	533.0
