	0
gott sei dank	43
ja gnädigste frau	17
auch heute wieder	13
doch auch wieder	11
ist doch auch	11
ist immer so	10
gnädigste frau ist	10
war so war	10
nein gnädigste frau	10
wird ja wohl	9
ist doch immer	9
das ist recht	9
doch immer noch	9
sagte das ist	8
so gut ging	8
so war doch	8
wohl recht haben	8
das ist ja	8
war denn auch	8
wird wohl auch	7
so gut ist	7
frau st arnaud	7
ist immer noch	7
es ist doch	6
ist doch bloß	6
vielleicht ist auch	6
auch jetzt noch	6
die gnädige frau	6
sagte st arnaud	6
so gut geht	6
nun auch noch	6
hatte denn auch	6
dann ist auch	6
ist ja doch	6
nahm hand sagte	6
st arnaud frau	6
war ja doch	6
wird doch wohl	6
doch auch noch	6
ist ganz gut	6
sagte frau briest	6
