I	NUM	i
Claude	NAM	claude
passait	VER:impf	passer
devant	PRP	devant
l'	DET:ART	le
Hôtel-de-Ville	NAM	hôtel-de-ville
,	PUN	,
et	KON	et
deux	NUM	deux
heures	NOM	heure
du	PRP:det	du
matin	NOM	matin
sonnaient	VER:impf	sonner
à	PRP	à
l'	DET:ART	le
horloge	NOM	horloge
,	PUN	,
quand	KON	quand
l'	DET:ART	le
orage	NOM	orage
éclata	VER:simp	éclater
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
s'	PRO:PER	se
était	VER:impf	être
oublié	VER:pper	oublier
à	PRP	à
rôder	VER:infi	rôder
dans	PRP	dans
les	DET:ART	le
Halles	NAM	halles
,	PUN	,
par	PRP	par
cette	PRO:DEM	ce
nuit	NOM	nuit
brûlante	ADJ	brûlant
de	PRP	de
juillet	NOM	juillet
,	PUN	,
en	PRP	en
artiste	ADJ	artiste
flâneur	NOM	flâneur
,	PUN	,
amoureux	ADJ	amoureux
du	PRP:det	du
Paris	NAM	paris
nocturne	ADJ	nocturne
.	SENT	.
<EOS>	<EOS>	<EOS>
Brusquement	ADV	brusquement
,	PUN	,
les	DET:ART	le
gouttes	NOM	goutte
tombèrent	VER:simp	tomber
si	ADV	si
larges	ADJ	large
,	PUN	,
si	ADV	si
drues	ADJ	dru
,	PUN	,
qu'	PRO:REL	que
il	PRO:PER	il
prit	VER:simp	prendre
sa	DET:POS	son
course	NOM	course
,	PUN	,
galopa	VER:simp	galoper
dégingandé	VER:pper	dégingander
,	PUN	,
éperdu	VER:pper	éperdre
,	PUN	,
le	DET:ART	le
long	NOM	long
du	PRP:det	du
quai	NOM	quai
de	PRP	de
la	DET:ART	le
Grève	NAM	grève
.	SENT	.
<EOS>	<EOS>	<EOS>
Mais	KON	mais
,	PUN	,
au	PRP:det	au
pont	NOM	pont
Louis-Philippe	NAM	louis-philippe
,	PUN	,
une	DET:ART	un
colère	NOM	colère
de	PRP	de
son	DET:POS	son
essoufflement	NOM	essoufflement
l'	PRO:PER	la|le
arrêta	VER:simp	arrêter
:	PUN	:
il	PRO:PER	il
trouvait	VER:impf	trouver
imbécile	ADJ	imbécile
cette	PRO:DEM	ce
peur	NOM	peur
de	PRP	de
l'	DET:ART	le
eau	NOM	eau
;	PUN	;
et	KON	et
,	PUN	,
dans	PRP	dans
les	DET:ART	le
ténèbres	NOM	ténèbre
épaisses	ADJ	épais
,	PUN	,
sous	PRP	sous
le	DET:ART	le
cinglement	NOM	cinglement
de	PRP	de
l'	DET:ART	le
averse	NOM	averse
qui	PRO:REL	qui
noyait	VER:impf	noyer
les	DET:ART	le
becs	NOM	bec
de	PRP	de
gaz	NOM	gaz
,	PUN	,
il	PRO:PER	il
traversa	VER:simp	traverser
lentement	ADV	lentement
le	DET:ART	le
pont	NOM	pont
,	PUN	,
les	DET:ART	le
mains	NOM	main
ballantes	ADJ	ballant
.	SENT	.
<EOS>	<EOS>	<EOS>
Du	PRP:det	du
reste	NOM	reste
,	PUN	,
Claude	NAM	claude
n'	ADV	ne
avait	VER:impf	avoir
plus	ADV	plus
que	KON	que
quelques	PRO:IND	quelque
pas	ADV	pas
à	PRP	à
faire	VER:infi	faire
.	SENT	.
<EOS>	<EOS>	<EOS>
Comme	KON	comme
il	PRO:PER	il
tournait	VER:impf	tourner
sur	PRP	sur
le	DET:ART	le
quai	NOM	quai
de	PRP	de
Bourbon	NAM	bourbon
,	PUN	,
dans	PRP	dans
